t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
23,138.85371165340646,745.3863075408578,49.49011521717177,-1.7281654056080196,0.0,0.5,3.9394868128223934,1.6030740450673198,-0.19729679010002305
24,143.8006519010477,745.2352249503081,49.4486897356531,-1.2934864053878594,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.02225438344191845
25,148.74632413124326,745.0762015111204,49.46475486825801,-1.8869823783651594,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.2618248009334948
26,153.69154330957116,744.8649577894138,49.43962869829987,-2.337892055768183,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.4443452540302302
27,158.63163224856478,744.6600110431667,49.36215008157282,-1.761042869174155,0.0,0.5,3.9394868128223934,1.6030740450673198,-0.21256456923637473
28,163.56651457215892,744.4598684209565,49.33549639031012,-2.2418095750298956,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.40757616368874516
29,168.5003013037275,744.217130028672,49.340238241061556,-2.6129582706583068,-0.08725,0.25,3.9394868128223934,1.6030740450673198,-0.5576498354403296
30,173.42769900553333,743.9877039841939,49.207715795055336,-1.9755626189037594,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.3020678221617095
31,178.34854694453105,743.7684511681797,49.20924298489924,-2.409493701379554,-0.08725,0.25,3.9394868128223934,1.6030740450673198,-0.4781186399915213
32,183.27107003223367,743.5107408638208,49.241218769152916,-2.7447123857974267,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.6133559797778373
33,188.175956097552,743.3142763300001,48.85650253721361,-1.1845782906169906,0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.01541833672977111
34,193.05635760376026,743.2098119715366,48.75152758695188,-0.9047088786526227,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.1291482642095229
35,197.92960486387068,743.0853520610941,48.71341761525667,-1.584489330197442,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.1500508529854363
36,202.79914651881458,742.9452344897412,48.677415483621594,-1.217862096860022,0.0,0.75,3.9394868128223934,1.6030740450673198,-3.3756820870187165e-5
37,207.66772788379188,742.7928119682849,48.69421181592445,-1.8305883322647358,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.25129509984445747
38,212.53967247064048,742.5860219594691,48.74467992104764,-2.305211844050476,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.4449621340093545
39,217.41168347140115,742.3823038870498,48.69554009416569,-1.7691496043349604,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.2261875136901536
40,222.28053139090238,742.2258266537553,48.681418295859125,-1.3603950615541829,0.0,1.0,3.9394868128223934,1.6030740450673198,-0.05866527679448369
41,227.1496196191123,742.0607797151043,48.70034626833896,-1.9405437114655135,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.2964536150192232
42,231.99915192944903,741.9326053244148,48.29029993839572,-0.6229441023248516,0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.24206719303908095
43,236.82845540016348,741.8767020661903,48.2957694758932,-0.49512106216432394,0.0,1.0,3.9394868128223934,1.6030740450673198,-0.2950664246171283
44,241.65958404703483,741.7882318374112,48.32680346153367,-1.2742835134186294,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.027120727457037377
45,246.4858393943617,741.587571281767,48.19830348500382,-2.738927599464703,-0.1745,0.25,3.9394868128223934,1.6030740450673198,-0.6352392956988817
46,251.30120704011082,741.2570135978928,48.10904942997854,-3.8722260780211633,-0.1745,0.0,3.9394868128223934,1.6030740450673198,-1.1063850278832328
47,256.1080998750231,740.91334474685,48.02880726826627,-3.0011509428324317,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.7483349431442655
48,260.90421272220215,740.6463960460252,47.89344967531512,-2.3378230736635794,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.47581311413474847
49,265.69248309902764,740.4377893488264,47.87195786119455,-1.8343108703112578,0.0,1.0,3.9394868128223934,1.6030740450673198,-0.26635306526415137
50,270.4778201911778,740.2737150410256,47.83478398180876,-1.4471752857039095,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.10530522140059444
51,275.26489582517786,740.1006153013244,47.90672869819301,-2.0148195083206852,-0.08725,1.0,3.9394868128223934,1.6030740450673198,-0.3411006406101203
52,280.0558022355859,739.8774836484793,47.91139950996724,-2.447813548583386,-0.08725,0.25,3.9394868128223934,1.6030740450673198,-0.521444007984883
53,284.85117096909903,739.6156216869875,47.99597516029539,-2.7894256812509868,-0.08725,1.0,3.9394868128223934,1.6030740450673198,-0.66167126516062
54,289.644227259258,739.3673093693527,47.86515064288362,-2.1768206714446237,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.40964357410368923
55,294.4323252829455,739.1296826540647,47.896809830866026,-2.575713634314342,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.575276877006628
56,299.20048071451885,738.9419200819027,47.46629880060062,-1.1795378089259116,0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.0022700676322646995
57,303.94931188566983,738.7926486614037,47.51032462241868,-1.8058906010524731,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.2606967780445314
58,308.68101572525865,738.67145191196,47.123752169358205,-0.6180443878209589,0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.23685317908784764
59,313.3927118625659,738.5723240775379,47.11017057678595,-1.3645123006207207,-0.08725,0.25,3.9394868128223934,1.6030740450673198,-0.0799661618044753
60,318.10240500017164,738.4482805707073,47.083692175329965,-1.1163578359905966,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.02504055207099877
61,322.81297404718975,738.3045846021762,47.12768876503188,-1.75756153463281,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.24639108797291517
62,327.52283863877983,738.1456790847325,47.06960306676976,-1.4205488142414482,0.0,0.5,3.9394868128223934,1.6030740450673198,-0.10430420449450979
63,332.214180179741,738.057129560393,46.75722775245379,-0.3504416725468953,0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.3492313334938943
64,336.89029874893566,737.9817429158468,46.765143631439884,-1.1572912183788522,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.004318344553215156
65,341.5657136623598,737.8754084283162,46.74315463704314,-0.9693985322327339,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.0844446542643841
66,346.2384248729105,737.7450922637313,46.71106957397023,-1.6369247594646166,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.20143297435257154
67,350.90680602084836,737.5960042385938,46.65655338478731,-1.344835743286211,0.0,0.5,3.9394868128223934,1.6030740450673198,-0.07719290938304035
68,355.5736272769921,737.4320150932251,46.679871738087165,-1.934947164085655,-0.08725,0.5,3.9394868128223934,1.6030740450673198,-0.32945566387000974
69,360.236137286188,737.2563730353103,46.570328445830356,-1.577893994211405,0.0,0.0,3.9394868128223934,1.6030740450673198,-0.1783216766364492
70,364.88926899383483,737.1122341746092,46.49230570710649,-1.304883219811072,0.0,0.25,3.9394868128223934,1.6030740450673198,-0.06214621550286889
71,369.5373334016958,736.9922178245254,46.46898245011209,-1.095443781864646,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.027650917613377124
72,374.186487812173,736.8503169157729,46.51410575943349,-1.7425743931845854,-0.08725,0.75,3.9394868128223934,1.6030740450673198,-0.24989762814383767
73,378.83636866168547,736.6914136586671,46.48351123081515,-1.435490748929264,0.0,0.75,3.9394868128223934,1.6030740450673198,-0.11844796978204619
74,383.48347581079867,736.5195332858428,46.458631751448976,-2.0021167075553494,-0.08725,0.0,3.9394868128223934,1.6030740450673198,-0.36240695453458094
