t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
20,122.38939894992518,2435.5895476163682,41.7742353758166,-3.9602768101267,0.0,0.5,0.0,0.0,-0.2581687371724037
21,126.56363698690252,2435.213865141178,41.710525363730326,-3.5533726936811743,0.0,0.5,0.0,0.0,-0.06752477000750712
22,130.73213392040452,2434.7966822078333,41.659413306309546,-4.790285973204801,-0.1745,0.5,0.0,0.0,-0.6575357938302864
23,134.89157914322286,2434.3468459307733,41.52949115005688,-4.206439568000578,0.0,0.0,0.0,0.0,-0.3868023651669744
24,139.03865197184413,2433.9486728634615,41.41196542236878,-3.75702177822982,0.0,0.0,0.0,0.0,-0.17747510122789023
25,143.18027631743573,2433.5132292454564,41.42052148946309,-4.951850581868521,-0.1745,1.0,0.0,0.0,-0.7477501515791429
26,147.32070375541068,2433.0484180398403,41.38802727003588,-4.344373530449742,0.0,1.0,0.0,0.0,-0.4597943112810002
27,151.4585204211082,2432.6376236020583,41.368306043914856,-3.8715152251932423,0.0,1.0,0.0,0.0,-0.23445819988317185
28,155.59482209768763,2432.268930232097,41.35772748767363,-3.502352174036262,0.0,1.0,0.0,0.0,-0.057839918718961825
29,159.7256202664006,2431.8572758876944,41.25823588658553,-4.730734714013538,-0.1745,0.0,0.0,0.0,-0.651494021201757
30,163.84508640088515,2431.411748419311,41.13108680310568,-4.179814653649074,0.0,0.0,0.0,0.0,-0.39378882748763666
31,167.9574177254128,2431.015020662217,41.11553968744736,-3.754740488234968,0.0,1.0,0.0,0.0,-0.18972846791761117
32,172.06859492827638,2430.656180038433,41.10800436982428,-3.42207198744815,0.0,1.0,0.0,0.0,-0.029449507210840276
33,176.1792881768181,2430.2512298746624,41.10586060100986,-4.6769312879627805,-0.1745,1.0,0.0,0.0,-0.6342186720212528
34,180.28860165870807,2429.8101226678486,41.08040903678979,-4.145212848311668,0.0,1.0,0.0,0.0,-0.37976760647153246
35,184.39340784159856,2429.4163638525183,41.015714621019654,-3.729963458294057,0.0,0.5,0.0,0.0,-0.18232520169373434
36,188.4921427144997,2429.0595143220544,40.95898283700304,-3.407027150983961,0.0,0.5,0.0,0.0,-0.028339287271283153
37,192.58549690888503,2428.7313793618073,40.90810105070369,-3.1556720539587517,0.0,0.5,0.0,0.0,-0.09171177527393326
38,196.6757534208574,2428.3506539343844,40.897029188743524,-4.458836494498084,-0.1745,1.0,0.0,0.0,-0.5404981807603526
39,200.75944616683338,2427.9284889147834,40.776825730776046,-3.984463897519737,0.0,0.0,0.0,0.0,-0.31671148246470326
40,204.83660147060925,2427.54838338308,40.766280344741546,-3.617646736550217,0.0,1.0,0.0,0.0,-0.13883467560672325
41,208.90871698040556,2427.127228911908,40.67602985118436,-4.805442686890449,-0.1745,0.0,0.0,0.0,-0.720594864230478
42,212.9724923259281,2426.673609306601,40.59947705926629,-4.266949419246288,0.0,0.5,0.0,0.0,-0.4630731649311873
43,217.03413434482536,2426.193468421814,40.633363318679166,-5.335868276492629,-0.1745,1.0,0.0,0.0,-0.9802942291105304
44,221.0905676325703,2425.6924415454514,40.49530243621973,-4.684669250758119,0.0,0.0,0.0,0.0,-0.6724476686514727
45,225.133930447927,2425.2491582355733,40.37195387091487,-4.180996946805849,0.0,0.0,0.0,0.0,-0.4329579695620875
46,229.16548488847837,2424.850573048844,40.259134940112446,-3.790706787780357,0.0,0.0,0.0,0.0,-0.24674122845419755
47,233.15779640854643,2424.555466068613,39.587095461248666,-2.111432816841778,0.1745,1.0,0.0,0.0,-0.5651795231243719
48,237.11766095097846,2424.34071321048,39.61019538739205,-2.183624345816812,0.0,1.0,0.0,0.0,-0.5295286316634324
49,241.07180368713637,2424.0504465395334,39.472659335766295,-3.6217090731155572,-0.1745,0.0,0.0,0.0,-0.19893081797313056
50,245.01659918619433,2423.6999403992822,39.423250645392876,-3.388413731905414,0.0,0.5,0.0,0.0,-0.08380461919811677
51,248.95666112360652,2423.370254952867,39.37798810285085,-3.205295196399759,0.0,0.5,0.0,0.0,-0.00658685474828169
52,252.88985475725195,2423.056907629195,39.28588457005749,-3.0616512770453808,0.0,0.0,0.0,0.0,-0.07546594121782851
53,256.81896776543414,2422.7562698277475,39.296375593586234,-2.9511047519001177,0.0,1.0,0.0,0.0,-0.1318288105749965
54,260.74671396297003,2422.465578323856,39.25854835713173,-2.862725325932846,0.0,0.5,0.0,0.0,-0.17518881727708158
55,264.67325099115516,2422.1827498962557,39.272192206570445,-2.7938432260720005,0.0,1.0,0.0,0.0,-0.2106166641927945
56,268.5962017957167,2421.906134172145,39.18682388466016,-2.738471256147287,0.0,0.0,0.0,0.0,-0.2356826157758224
57,272.5156707516912,2421.6343296795562,39.20255523482973,-2.697618595622559,0.0,1.0,0.0,0.0,-0.2570154259353266
58,276.435186843887,2421.2974764643095,39.18776660908675,-4.039445709313377,-0.1745,1.0,0.0,0.0,-0.4232449937946983
59,280.3536662586385,2420.908888049096,39.181821685943746,-3.732322594962858,0.0,1.0,0.0,0.0,-0.26835983612449127
60,284.270610686921,2420.479112709997,39.15706687970569,-4.863184187015557,-0.1745,0.5,0.0,0.0,-0.8403171383460393
61,288.1827072880643,2420.0166190218038,39.084865143160656,-4.386689576847314,0.0,0.5,0.0,0.0,-0.6044757552984583
62,292.0905823877532,2419.5966579732226,39.07263685061761,-4.012531394779156,0.0,1.0,0.0,0.0,-0.4159063366052518
63,295.99759385475636,2419.2102284053935,39.06759248944474,-3.7160599618004886,0.0,1.0,0.0,0.0,-0.2659114575830379
64,299.89936959325075,2418.8503931530113,38.96792228044318,-3.4806450858447113,0.0,0.0,0.0,0.0,-0.15095797468958616
65,303.7938984067742,2418.511484897903,38.922653990025985,-3.2975200163269465,0.0,0.5,0.0,0.0,-0.059644328159672855
66,307.68406015011374,2418.1889338727906,38.880580876764554,-3.153500485918145,0.0,0.5,0.0,0.0,-0.01210865763755925
67,311.5676376661659,2417.8792398881687,38.790969444278716,-3.0403792065207647,0.0,0.0,0.0,0.0,-0.06634508835789366
68,315.4448577890742,2417.5795373827245,38.75343301388663,-2.9536709023657517,0.0,0.5,0.0,0.0,-0.10933017800217937
69,319.3183972626593,2417.287558371411,38.71735645781489,-2.885909323908988,0.0,0.5,0.0,0.0,-0.14273976811135292
70,323.1858864023621,2417.0016039731718,38.63242633624139,-2.833178640875304,0.0,0.0,0.0,0.0,-0.1666507344105045
71,327.04642687560386,2416.6538005147527,38.57838312859385,-4.122890527508053,-0.1745,0.5,0.0,0.0,-0.49858366104422874
72,330.90149575749,2416.25636644839,38.522994509129504,-3.8257907997415996,0.0,0.5,0.0,0.0,-0.3490572200780964
73,334.7488073716499,2415.8855070245986,38.423237774068056,-3.5913976760859554,0.0,0.0,0.0,0.0,-0.23332202332148944
74,338.58745043416735,2415.469871056787,38.34962347628159,-4.721321680146355,-0.1745,0.0,0.0,0.0,-0.819341766857423
75,342.42159496364593,2415.0181647610643,38.333267113289565,-4.312804234300302,0.0,1.0,0.0,0.0,-0.6102506927667528
76,346.21985908858966,2414.665074093893,37.6320153855855,-2.7490091091212374,0.1745,0.5,0.0,0.0,-0.17205597479234946
77,349.9815896530086,2414.389405363632,37.6025959027933,-2.764365496106189,0.0,0.5,0.0,0.0,-0.16281623044555132
78,353.73787178524873,2414.1122964053643,37.523046742008944,-2.7778136692430064,0.0,0.0,0.0,0.0,-0.1526069260747226
79,357.49120180073476,2413.83382614933,37.54355356771114,-2.7915914514476974,0.0,1.0,0.0,0.0,-0.14613073744866673
80,361.2465692173173,2413.554150513211,37.5637947639403,-2.8019212709362917,0.0,1.0,0.0,0.0,-0.1414763765324467
81,365.0014500026814,2413.273580333789,37.53382094334185,-2.8094823175006427,0.0,0.5,0.0,0.0,-0.13630274312232266
82,368.75083261702065,2412.9922719141873,37.453831343443404,-2.8166860745368965,0.0,0.0,0.0,0.0,-0.12931507848655904
83,372.4947236466895,2412.71016415253,37.423989249933484,-2.8254691586052063,0.0,0.5,0.0,0.0,-0.12347117643321581
84,376.235628742692,2412.427207867851,37.39411267011535,-2.833656534977057,0.0,0.5,0.0,0.0,-0.11793285110515278
85,379.97604488928164,2412.143456681901,37.41421026167843,-2.841367184022506,0.0,1.0,0.0,0.0,-0.1146588363419615
86,383.7134619473295,2411.8590469142114,37.33413089927835,-2.846828169777392,0.0,0.0,0.0,0.0,-0.1085252133017664
87,387.4453797018829,2411.5739944641196,37.304224191790304,-2.8542208320576785,0.0,0.5,0.0,0.0,-0.10338260921507275
88,391.17430606060225,2411.2882185777885,37.27430298259616,-2.861296894564188,0.0,0.5,0.0,0.0,-0.09839957352999112
89,394.9002398015653,2411.0017477425527,37.2443718366655,-2.868119810152983,0.0,0.5,0.0,0.0,-0.09354280188122399
90,398.62068011251574,2410.714604729815,37.16443438234287,-2.8747404445928804,0.0,0.0,0.0,0.0,-0.08671923509195739
91,402.3331343864337,2410.426714204195,37.084651096016486,-2.8830700678111802,0.0,0.0,0.0,0.0,-0.07895591182711076
92,406.037616731407,2410.1379219725145,37.00499580344984,-2.8927745657967683,0.0,0.0,0.0,0.0,-0.07042530539452391
93,409.73413888672576,2409.848103889767,36.92544730292537,-2.9035870891474733,0.0,0.0,0.0,0.0,-0.061265364333465966
94,413.4227106695004,2409.557159814591,36.84598835256758,-2.9152944143714214,0.0,0.0,0.0,0.0,-0.05158644991652167
95,417.10334033055136,2409.2650087890424,36.766604868451566,-2.927726096602273,0.0,0.0,0.0,0.0,-0.04147686734982198
96,420.7810348383815,2408.9715851924066,36.78728528815095,-2.9407458361149663,0.0,1.0,0.0,0.0,-0.03533767662530829
97,424.4607844535375,2408.6770229838016,36.80770701496807,-2.950498335987008,0.0,1.0,0.0,0.0,-0.030957785075714506
98,428.1400657586505,2408.3816172608035,36.777919087292794,-2.9576161239789203,0.0,0.5,0.0,0.0,-0.025825258864139444
