t,x,y,vx,vy,theta
0,120.01079378663941,2788.587586448353,43.22081754547761,0.6919834995155717,0.009428178628183764
1,124.32938636857948,2788.6332477646474,43.15103409332377,0.22124282638116294,0.009428178628183764
2,128.64079457340262,2788.6369040472414,43.07713000313919,-0.14811717450550577,0.009428178628183764
3,132.94463213697333,2788.60756447445,42.99962126827525,-0.4386742813169547,0.009428178628183764
4,137.2405670509998,2788.552230921753,42.919077012254355,-0.667996772621831,0.009428178628183764
5,141.52832297915145,2788.4763434995875,42.83604155077871,-0.8497516706936812,0.009428178628183764
6,145.80767503958296,2788.3841276518883,42.750999657851274,-0.9945652832866934,0.009428178628183764
7,150.0784432912464,2788.2788646453046,42.664365375417454,-1.110694848389617,0.009428178628183764
8,154.34048570786183,2788.163102231092,42.57648295689138,-1.2045534358581944,0.009428178628183764
9,158.59369152875036,2788.0388185621105,42.48763346087935,-1.2811199437774297,0.009428178628183764
10,162.83797537310215,2787.907549618591,42.398043426156484,-1.3442589266153813,0.009428178628183764
11,167.07327223232264,2787.7704881864615,42.30789375825339,-1.3969697159778536,0.009428178628183764
12,171.29953331664433,2787.6285606907495,42.21732792818018,-1.4415801982617458,0.009428178628183764
13,175.51672266913513,2787.4824868123783,42.12645912163566,-1.4798973691613728,0.009428178628183764
14,179.72481443833632,2787.3328257339026,42.035376262387985,-1.5133242003525353,0.009428178628183764
15,183.92379070017085,2787.180012009054,41.94414897430259,-1.5429502966253446,0.009428178628183764
16,188.11363972922186,2787.024383384684,41.85283160671724,-1.5696221907770525,0.009428178628183764
17,192.29435463280274,2786.866202383328,41.761466464900586,-1.5939978363415646,0.009428178628183764
18,196.4659322751788,2786.7056730491745,41.67008638262097,-1.6165888467293137,0.009428178628183764
19,200.62837243227978,2786.5429539449606,41.578716759398645,-1.6377932375520943,0.009428178628183764
20,204.78167712861517,2786.3781682425306,41.487377167309546,-1.6579208110479473,0.009428178628183764
21,208.92585011770942,2786.211411559948,41.39608261457538,-1.6772128406033338,0.009428178628183764
22,213.06089647529606,2786.0427580509295,41.3048445371573,-1.6958573397698475,0.009428178628183764
23,217.1868222809411,2785.872265138423,41.21367157574326,-1.7140009103658864,0.009428178628183764
24,221.30363436892586,2785.6999771959204,41.12257018395183,-1.7317579396841472,0.009428178628183764
25,225.4113401333283,2785.525928411789,41.03154510409749,-1.749217742935359,0.009428178628183764
26,229.5099473754935,2785.350145019019,40.940599739206625,-1.766450112473366,0.009428178628183764
27,233.5994641846464,2785.1726470318345,40.84973644385095,-1.7835096312089127,0.009428178628183764
28,237.67989884441417,2784.9934495989214,40.7589567515046,-1.800439027048278,0.009428178628183764
29,241.751259759604,2784.8125640584262,40.66826155229221,-1.8172717828523521,0.009428178628183764
30,245.81355539881739,2784.629998760875,40.57765123197506,-1.834034168169732,0.009428178628183764
31,249.86679424944876,2784.4457597113837,40.48712578065244,-1.850746821656843,0.009428178628183764
32,253.91098478237137,2784.2598510710914,40.39668487779999,-1.8674259841870333,0.009428178628183764
33,257.94613542420217,2784.072275548869,40.30632795881557,-1.8840844602582993,0.009428178628183764
34,261.97225453549845,2783.883034707458,40.21605426710985,-1.90073236795928,0.009428178628183764
35,265.9893503935986,2783.692129202845,40.125862894893736,-1.9173777243043724,0.009428178628183764
36,269.9974311790995,2783.499558971514,40.035752815124305,-1.9340269023194452,0.009428178628183764
37,273.99650496518234,2783.3053233769897,39.945722906531806,-1.9506849881680577,0.009428178628183764
38,277.9865797091704,2783.109421324565,39.85577197323005,-1.9673560603272824,0.009428178628183764
39,281.96766324583615,2782.9118513511517,39.76589876008422,-1.9840434079446303,0.009428178628183764
40,285.93976328207805,2782.7126116956683,39.67610196475412,-2.0007497017177784,0.009428178628183764
41,289.9028873926723,2782.5117003541977,39.58638024713086,-2.017477127692743,0.009428178628183764
42,293.8570430168653,2782.309115123209,39.49673223672899,-2.0342274920848196,0.009428178628183764
43,297.80223745562546,2782.1048536334324,39.40715653847383,-2.0510023034436027,0.009428178628183764
44,301.7384778694106,2781.8989133764053,39.31765173722871,-2.0678028370952135,0.009428178628183764
45,305.6657712763386,2781.691291725265,39.228216401332006,-2.084630185713552,0.009428178628183764
46,309.584124550673,2781.4819859510276,39.138849085355744,-2.101485299029632,0.009428178628183764
47,313.49354442155334,2781.2709932353246,39.04954833225173,-2.118369015030941,0.009428178628183764
48,317.3940374719167,2781.0583106803483,38.96031267501563,-2.1352820844900644,0.009428178628183764
49,321.28561013756604,2780.843935316611,38.871140637971166,-2.15222519026167,0.009428178628183764
50,325.16826870635236,2780.627864108974,38.78203073775495,-2.1691989624743964,0.009428178628183764
51,329.04201931744336,2780.410093961325,38.69298148406498,-2.186203990500008,0.009428178628183764
52,332.90686796065773,2780.1906217201804,38.60399138022255,-2.2032408323912613,0.009428178628183764
53,336.7628204758482,2779.969444177444,38.51505892358662,-2.220310022330608,0.009428178628183764
54,340.6098825523201,2779.746558072502,38.42618260585135,-2.2374120765150063,0.009428178628183764
55,344.4480597282752,2779.5219600937858,38.33736091325109,-2.2545474978106066,0.009428178628183764
56,348.27735739027236,2779.2956468799234,38.24859232669179,-2.2717167794394113,0.009428178628183764
57,352.0977807726982,2779.0676150205563,38.15987532182397,-2.288920407903818,0.009428178628183764
58,355.90933495724283,2778.8378610568957,38.07120836906892,-2.3061588653109215,0.009428178628183764
59,359.7120248723767,2778.606381482069,37.98258993360771,-2.3234326312238607,0.009428178628183764
60,363.50585529282404,2778.373172741301,37.89401847534011,-2.3407421841403897,0.009428178628183764
