t,x,y,vx,vy,theta,thr,wind_vx,wind_vy,r
0,285.8583159959838,2410.3584096796817,47.042745889727655,-3.331259063007701,-0.07648605735840289,0.5,0.0,0.0,-0.21035365154089825
1,290.55958030747166,2409.951735359539,46.98254034002954,-4.802227339848869,-0.1745,1.0,0.0,0.0,-0.4129392793967124
2,295.2532205715805,2409.4161461276335,46.890264942147255,-5.909557298260298,-0.1745,0.0,0.0,0.0,-0.8832276023206836
3,299.9358760280636,2408.88171513504,46.76284418751479,-4.779062553611285,0.0,0.5,0.0,0.0,-0.412845171394719
4,304.6125122838732,2408.3476249546234,46.769880928676756,-5.902741054720666,-0.1745,1.0,0.0,0.0,-0.8869507364137106
5,309.2806641743616,2407.8134383463803,46.593156881091765,-4.780991110143393,0.0,0.0,0.0,0.0,-0.4212376929381492
6,313.9375154751455,2407.3770700520727,46.543869134586195,-3.9463747760093613,0.0,1.0,0.0,0.0,-0.0679243952106981
7,318.5880747970444,2406.9173388223053,46.46731730339072,-5.248249819336968,-0.1745,0.5,0.0,0.0,-0.6256265681257525
8,323.23625545836626,2406.342215912431,46.49629592304625,-6.254208378147948,-0.1745,1.0,0.0,0.0,-1.050537636249598
9,327.8843959355694,2405.679094314969,46.46651362101678,-7.008223571094091,-0.1745,0.0,0.0,0.0,-1.3704800222041416
10,332.52577429527435,2405.047274725419,46.361053573081854,-5.62816821990778,0.0,1.0,0.0,0.0,-0.7929035145839319
11,337.1559754646751,2404.535963846342,46.2429698149342,-4.598049361634659,0.0,0.5,0.0,0.0,-0.3589774202930171
12,341.7780792048123,2404.1147431362992,46.19910498780926,-3.8263648392214082,0.0,1.0,0.0,0.0,-0.029570057185462628
13,346.39651577362457,2403.6657660422284,46.16962638843602,-5.153177042199421,-0.1745,1.0,0.0,0.0,-0.6000035405322135
14,351.01068152438137,2403.1955970387417,46.1136886266996,-4.250203027537987,0.0,1.0,0.0,0.0,-0.21515341803384852
15,355.61774726183205,2402.8046211462283,46.027626122313805,-3.5693148227258527,0.0,0.5,0.0,0.0,-0.07515402994190373
16,360.21854156497153,2402.3786923011753,45.98825994047552,-4.949262078338171,-0.1745,1.0,0.0,0.0,-0.5211838641243924
17,364.81484083198364,2401.925945678918,45.93772539976686,-4.105670366805953,0.0,1.0,0.0,0.0,-0.15984431115366765
18,369.4029465383622,2401.4535320645855,45.82438872780349,-5.342601919852756,-0.1745,0.0,0.0,0.0,-0.6984462742681802
19,373.9848033222133,2400.871337375386,45.81274694921885,-6.301291864138857,-0.1745,0.5,0.0,0.0,-1.1110318433994086
20,378.5673562705385,2400.204352031498,45.83831201728503,-7.038415013622514,-0.1745,0.5,0.0,0.0,-1.4246685612125845
21,383.1435110486303,2399.5678947617776,45.68478354455026,-5.690730380781863,0.0,0.5,0.0,0.0,-0.8562065609059583
22,387.7096812592049,2398.955495370842,45.638620666942,-6.557257437924337,-0.1745,0.0,0.0,0.0,-1.2318578441508978
23,392.27288636409713,2398.2664868232587,45.62548143090312,-7.222913513743318,-0.1745,0.0,0.0,0.0,-1.5181636689518172
24,396.8300363005334,2397.6131929768108,45.517517297822266,-5.842963415211161,0.0,1.0,0.0,0.0,-0.9316212854768624
25,401.38475433638234,2396.9866441648674,45.576843419156646,-6.688012823659898,-0.1745,1.0,0.0,0.0,-1.2924428506465482
26,405.94449980788653,2396.285698168569,45.61806601092713,-7.3309071023041055,-0.1745,0.5,0.0,0.0,-1.5654235185990837
27,410.4982499362579,2395.622922894844,45.456936556499365,-5.924598372194933,0.0,0.5,0.0,0.0,-0.9709054855271504
28,415.04036121980266,2395.0830058609095,45.38528911439627,-4.873742306497757,0.0,1.0,0.0,0.0,-0.5184658003341467
