state,action,value
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
7,1,19255.404025814034
7,2,19301.651508658106
7,3,19460.17184926201
7,4,21398.524129075224
7,5,19300.392565018054
7,6,19283.353129520972
7,7,19276.372342322396
7,8,21401.193407206858
7,9,19882.054055424705
7,10,19323.643056592035
7,11,19296.287100708214
7,12,21400.12325488518
8,1,10260.48388440541
8,2,19255.886167622102
8,3,19254.348041283512
8,4,21309.149169277196
8,5,19301.075377305806
8,6,19254.970044137553
8,7,19258.990431171776
8,8,21398.59858078699
8,9,19253.868042119575
8,10,19256.090158628827
8,11,19322.633766284758
8,12,21398.336168792615
9,1,19255.885917309344
9,2,21403.479804000413
9,3,19379.372664428287
9,4,19398.41877714456
9,5,19204.796373116194
9,6,23779.940599784084
9,7,19380.569792803482
9,8,21412.76999740781
9,9,21399.5234100708
9,10,21648.126215259093
9,11,21322.500708588006
9,12,21534.21548569505
10,1,21416.897115410724
10,2,23929.84515782749
10,3,21959.867207187508
10,4,21744.511799240525
10,5,21163.117649701573
10,6,22969.911939119953
10,7,21891.67833394808
10,8,23832.405164713193
10,9,20723.310959724357
10,10,21751.069278973755
10,11,21766.375836580697
10,12,22963.370772580623
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
11,12,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
13,1,21000.050957072286
13,2,15597.004994618535
13,3,21278.916229167506
13,4,17560.161552209996
13,5,23985.77125190372
13,6,24335.743830879677
13,7,20940.895188708015
13,8,14770.344493482373
13,9,14578.436110934028
13,10,16009.994417498669
13,11,21096.941762928625
13,12,18801.312226030295
14,1,16185.448770926292
14,2,0.0
14,3,0.0
14,4,0.0
14,5,14791.872786922782
14,6,0.0
14,7,0.0
14,8,14533.389949970648
14,9,0.0
14,10,15869.563887297094
14,11,0.0
14,12,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
17,1,15048.549479351153
17,2,14752.30349427136
17,3,15404.495621121892
17,4,16301.7352098808
17,5,15126.472234938454
17,6,14832.125942150074
17,7,15598.872476806662
17,8,16302.025126707022
17,9,14825.11591134897
17,10,16459.336304149485
17,11,15369.216366664681
17,12,16295.342220932123
18,1,18797.736529086043
18,2,15240.210188193709
18,3,15096.173157805775
18,4,16311.962586045747
18,5,15047.96572693656
18,6,15075.97629079837
18,7,15075.8427872172
18,8,16289.50058027997
18,9,14777.419277070314
18,10,15072.557362942629
18,11,15126.036655571723
18,12,16287.901524228793
19,1,15182.404522760233
19,2,17298.646314888625
19,3,15548.40467821232
19,4,17063.6213898593
19,5,15101.895352579457
19,6,15874.111062114333
19,7,17234.671690743053
19,8,17325.904585065124
19,9,16910.067919026937
19,10,16387.2316480147
19,11,18102.25030847078
19,12,17205.905068758344
20,1,21105.945821028017
20,2,19096.395461518667
20,3,17328.880941668336
20,4,18563.463055830856
20,5,18752.217956421824
20,6,17225.676856693266
20,7,17189.166216852078
20,8,17190.0842940754
20,9,17187.496169583974
20,10,18994.213018880568
20,11,18029.41630092336
20,12,17187.60331756231
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
22,1,15612.84177988318
22,2,0.0
22,3,14359.646138387361
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
23,1,15794.376100893754
23,2,16567.36583855559
23,3,20785.84397867223
23,4,17972.593954976255
23,5,18704.06424333024
23,6,18883.647017057483
23,7,18878.50424646509
23,8,18191.80209657405
23,9,20546.578221532465
23,10,18699.829262472653
23,11,18443.248535705792
23,12,18140.13991670505
24,1,18652.55678090771
24,2,17609.630437559208
24,3,16990.160880566127
24,4,17152.367149626843
24,5,17203.458215197756
24,6,20238.628437414467
24,7,18567.47010061117
24,8,17217.459413574845
24,9,16561.73831946482
24,10,19483.61117540719
24,11,17550.70869435057
24,12,16470.205557779605
25,1,18139.251122963175
25,2,10892.39375509247
25,3,0.0
25,4,0.0
25,5,0.0
25,6,13903.384762321255
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,10478.34733015936
26,1,0.0
26,2,0.0
26,3,0.0
26,4,0.0
26,5,0.0
26,6,0.0
26,7,0.0
26,8,0.0
26,9,0.0
26,10,0.0
26,11,0.0
26,12,0.0
27,1,14057.752594335587
27,2,13561.896284946415
27,3,14661.428388277569
27,4,14057.516750690365
27,5,13736.508455133819
27,6,13661.862835735357
27,7,14959.526742802169
27,8,13995.923599217307
27,9,14465.00780273593
27,10,13715.897416194284
27,11,15124.679276492356
27,12,16069.925301933752
28,1,16615.210927029864
28,2,13676.417441832407
28,3,13680.968862219155
28,4,15125.682745363845
28,5,13675.21218312284
28,6,13629.454824970186
28,7,13895.778206256166
28,8,13991.058360130643
28,9,13674.03753037224
28,10,13705.095485134647
28,11,13954.22854455811
28,12,14002.547865810888
29,1,13629.009424624124
29,2,13808.856990856064
29,3,14033.942575698333
29,4,15033.249978503634
29,5,15150.483778036925
29,6,15546.828618663334
29,7,14033.39304863308
29,8,14033.64689178082
29,9,14421.959159845464
29,10,14572.323430695233
29,11,14145.650126339555
29,12,15118.79663644962
30,1,14095.518043073713
30,2,15339.814918673304
30,3,15114.388195932292
30,4,15114.593486250162
30,5,16796.62408857687
30,6,15104.741784642058
30,7,15115.509861407083
30,8,15257.784039851274
30,9,15108.62346649627
30,10,15114.502196811552
30,11,15115.194241146148
30,12,15113.23801604668
31,1,0.0
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.0
31,9,0.0
31,10,0.0
31,11,0.0
31,12,0.0
32,1,16643.762878269175
32,2,15886.621657668913
32,3,12506.279860541308
32,4,0.0
32,5,0.0
32,6,0.0
32,7,0.0
32,8,14066.997236709105
32,9,0.0
32,10,13664.74335643217
32,11,0.0
32,12,0.0
33,1,12117.63254925148
33,2,13138.731349223879
33,3,14236.632698631414
33,4,12287.382532864502
33,5,12758.160060534703
33,6,14399.124786281269
33,7,13075.432713900402
33,8,13942.36492581933
33,9,13127.971731688838
33,10,12983.043086911995
33,11,12992.671862575577
33,12,13885.603752581006
34,1,16006.387717476933
34,2,13325.070331232453
34,3,14320.726520387889
34,4,14376.728643423294
34,5,15502.144555474408
34,6,12046.73994152577
34,7,13441.292635857993
34,8,13989.25433475542
34,9,13245.65097572617
34,10,13093.491359757003
34,11,14533.749517494412
34,12,13990.967042744185
35,1,14522.337103933232
35,2,14015.233769339753
35,3,14150.963782104553
35,4,0.0
35,5,13790.081189797465
35,6,14496.850502986324
35,7,14538.080334451495
35,8,12413.600263403672
35,9,14055.203566592165
35,10,14786.296234322497
35,11,12411.018969335422
35,12,14538.523981618395
36,1,0.0
36,2,0.0
36,3,0.0
36,4,0.0
36,5,0.0
36,6,0.0
36,7,0.0
36,8,0.0
36,9,0.0
36,10,0.0
36,11,0.0
36,12,0.0
37,1,14655.143396320422
37,2,15098.842389699992
37,3,13032.739634865611
37,4,12131.927786431865
37,5,12378.493895065787
37,6,12214.751955692936
37,7,13441.033712881186
37,8,12251.612099951693
37,9,12072.530850507199
37,10,13452.164790260085
37,11,13022.0849690328
37,12,12250.90011906505
38,1,13317.893041349129
38,2,10903.808335812604
38,3,11805.881471968889
38,4,12117.469120396949
38,5,11681.559781625741
38,6,10985.021328190238
38,7,11006.393132849435
38,8,12117.298142652811
38,9,11717.08401979873
38,10,10909.271403445584
38,11,11016.678791425264
38,12,12115.779739532112
39,1,11832.74336192367
39,2,12835.876725681064
39,3,12359.23402704792
39,4,13465.39512232781
39,5,13451.748860974058
39,6,13322.929436435832
39,7,13454.284962340376
39,8,12250.494681268492
39,9,12918.330538661085
39,10,12179.224118016466
39,11,12239.052657772305
39,12,13449.17016784127
40,1,12251.56481963069
40,2,13453.169020886739
40,3,13475.501952926963
40,4,13599.453933549572
40,5,14964.624202303623
40,6,13453.816171292681
40,7,13465.389431270718
40,8,13340.32830006224
40,9,13313.693640820045
40,10,13464.86838966563
40,11,13464.50389195489
40,12,13478.354219659632
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.0
41,9,0.0
41,10,0.0
41,11,0.0
41,12,0.0
42,1,12204.688820107718
42,2,10733.317251459037
42,3,9804.053980205284
42,4,12791.169431031214
42,5,8718.967176350614
42,6,10733.322493389715
42,7,10676.578350432994
42,8,9885.214340928942
42,9,9854.952198963998
42,10,13259.444108879405
42,11,12356.645928967238
42,12,10394.38539960056
43,1,10522.902383694634
43,2,10280.294024444649
43,3,9338.179767900561
43,4,9145.426597561045
43,5,10037.751767493377
43,6,9338.19489078278
43,7,10158.025755863786
43,8,9142.83018604799
43,9,8420.728276447178
43,10,9321.529807417
43,11,8317.591157076164
43,12,9151.956897510121
44,1,9239.628516179195
44,2,9169.851794459179
44,3,9147.017843950738
44,4,9148.836416696733
44,5,9037.148053348243
44,6,10163.223667950706
44,7,9142.544603397942
44,8,9145.467023319246
44,9,9145.020755427098
44,10,8849.476293398086
44,11,9177.331984742066
44,12,9142.842647022979
45,1,9051.811463176322
45,2,8202.904020484135
45,3,8407.634937457413
45,4,8219.720895716764
45,5,8502.637536368627
45,6,8922.45064316213
45,7,8212.336438857386
45,8,9098.636253769062
45,9,8258.99785302679
45,10,8217.970355142932
45,11,9106.258700225608
45,12,8195.41981394841
46,1,0.0
46,2,0.0
46,3,0.0
46,4,0.0
46,5,0.0
46,6,0.0
46,7,0.0
46,8,0.0
46,9,0.0
46,10,0.0
46,11,0.0
46,12,0.0
47,1,11921.28400662044
47,2,10755.216006034534
47,3,11845.368112362723
47,4,10502.30077416268
47,5,12000.892548912454
47,6,11691.64525805374
47,7,12507.35390927107
47,8,9341.464100524208
47,9,10152.957210711787
47,10,11269.384629465072
47,11,10594.65992724672
47,12,10374.399280132786
48,1,12533.593699315785
48,2,9552.041352596334
48,3,9548.49481624526
48,4,10557.497089576276
48,5,9500.130811834642
48,6,9448.640708300816
48,7,9499.463816846755
48,8,10491.997353783567
48,9,9493.605783025383
48,10,9961.29122418371
48,11,9504.182606693868
48,12,10491.826560001966
49,1,9508.732746772546
49,2,10578.614095213214
49,3,10955.757830166976
49,4,10492.088890945246
49,5,11659.615959348463
49,6,10491.169202816911
49,7,10592.885345222967
49,8,10489.461997806628
49,9,9191.608200191318
49,10,10492.274215949887
49,11,10499.130081012956
49,12,10479.51720679355
50,1,8615.287028753612
50,2,10469.420595125055
50,3,10470.925109996131
50,4,10939.043235286903
50,5,10269.609262840255
50,6,8972.207713589472
50,7,8563.182782268452
50,8,10564.485203505981
50,9,10432.08183890293
50,10,10595.786618884564
50,11,9846.408433234565
50,12,10324.933603977497
