t,x,y,vx,vy,theta
60,573.2217821248365,761.1144107883215,56.718157070225274,-6.635199334404717,-0.1745
61,578.9011209084869,760.4504667500597,56.86861860278039,-6.643681430831093,-0.1745
62,584.5954824573663,759.7856735824057,57.018612374808356,-6.6521819222489125,-0.1745
63,590.3048199706051,759.1200294848292,57.16813788996821,-6.660700029282633,-0.1745
64,596.0290865989796,758.4535327341733,57.31719467752071,-6.669234983833115,-0.1745
65,601.7682354474566,757.7861816835305,57.46578229202109,-6.677786029023853,-0.1745
66,607.5222195777086,757.1179747611232,57.61390031301869,-6.68635241912204,-0.1745
67,613.2909920105976,756.448910469195,57.76154834476254,-6.694933419442174,-0.1745
68,619.0745057286314,755.7789873829109,57.90872601591187,-6.703528306237733,-0.1745
69,624.8727136783896,755.1082041492698,58.05543297925104,-6.712136366584805,-0.1745
70,630.6855687729226,754.4365594860275,58.20166891140844,-6.720756898260489,-0.1745
71,636.513023894122,753.7640521806336,58.347433512578974,-6.729389209618052,-0.1745
72,642.3550318950633,753.0906810891797,58.49272650624991,-6.738032619460241,-0.1745
73,648.2115456023223,752.4164451353611,58.637547638929895,-6.746686456911731,-0.1745
74,654.0825178182629,751.7413433094509,58.781896679881015,-6.755350061291449,-0.1745
75,659.9679013232997,751.0653746672871,58.92577342085372,-6.764022781985229,-0.1745
76,665.8676488781335,750.3885383292719,59.0691776758246,-6.772703978319169,-0.1745
77,671.7817132259617,749.7108334793843,59.21210928073681,-6.781393019433919,-0.1745
78,677.6837136397904,749.1983412645892,58.827898995839135,-3.4684512764678406,0.0
79,683.5607869615774,748.8020655156379,58.713567439899144,-4.457063702557579,-0.1745
80,689.4173686126915,748.4822835294035,58.41806558238243,-1.938576022130385,0.0
81,695.2495082917129,748.2169844093917,58.22472799804623,-3.367406378105135,-0.1745
82,701.0590594497938,747.9871625030041,57.96629516357194,-1.22903174964671,0.0
83,706.8442674682799,747.783337086647,57.73786520614929,-2.8474765774957143,-0.1745
84,712.606016146822,747.5957444066414,57.49710836469281,-0.9043770226150705,0.0
85,718.3436550016029,747.4206981300446,57.25566873092609,-2.596548509322157,-0.1745
86,724.05765811573,747.2527352056342,57.024393551615894,-0.7627099788851739,0.0
87,729.7479092048945,747.0908779379985,56.78062823167562,-2.4744353738283085,-0.1745
88,735.4146960841218,746.9317166731305,56.555109352870176,-0.7087899235311639,0.0
89,741.0581547698187,746.7755398675134,56.314064361066315,-2.4147461888095068,-0.1745
90,746.6784840012281,746.6199425032597,56.092520267121074,-0.6972010962638735,0.0
91,752.2759356199346,746.4657977965443,55.85651210700964,-2.385693038043886,-0.1745
92,757.8506638039598,746.3112080944023,55.638051573496895,-0.7061010047944043,0.0
93,763.4029706653248,746.1573072207689,55.40808565380312,-2.37191646787466,-0.1745
94,768.9329868689324,746.002466096914,55.192238418348865,-0.724906009222481,0.0
95,774.4410334060299,745.8479242283182,54.96869232360152,-2.365931362692548,-0.1745
96,779.9272276062223,745.6922049847776,54.75519168024879,-0.7484535081201271,0.0
97,785.3918943649371,745.5365794089026,54.538143494045535,-2.364058009380331,-0.1745
98,790.8351426966234,745.3796659852416,54.32682313967991,-0.7742104638417053,0.0
99,796.2572943281032,745.2227319756657,54.11620948991493,-2.364469727675165,-0.1745
100,801.6584524918272,745.0644620770696,53.9069537845671,-0.8009282442471308,0.0
101,807.038932489397,744.9061032255778,53.70264616682704,-2.366248785588156,-0.1745
102,812.3988330901473,744.7463913003377,53.49536584817775,-0.8279897192146735,0.0
103,817.7384617619925,744.5865454860789,53.297207588726806,-2.368926565962007,-0.1745
104,823.0579135303287,744.425344649244,53.09182777799683,-0.8550901707344571,0.0
105,828.3574875165639,744.2639772386169,52.8996519467063,-2.3722580418088692,-0.1745
106,833.6372754214312,744.1012603209817,52.696106150640034,-0.8820803108951876,0.0
107,838.8975679392443,743.9383507843409,52.509744205620045,-2.376110421923498,-0.1745
108,844.1384537129926,743.7741008353404,52.307971269347846,-0.9088885580868449,0.0
109,849.3602151349675,743.609636017272,52.1272571701488,-2.380407803281913,-0.1745
110,854.5629379781986,743.443841511166,51.92719969447415,-0.9354823188380255,0.0
111,859.7468965524772,743.2778122213424,51.75197179109678,-2.38510347763399,-0.1745
112,864.9121739061775,743.1104646180644,51.55357528290962,-0.9618485879267435,0.0
113,870.0590365258726,742.9428638896708,51.3836771109918,-2.3901659799450217,-0.1745
114,875.1875648566424,742.7739563819041,51.18688950440582,-0.9879841753881937,0.0
