iteration,simulation_duration,total_reward
1000,56.30000000000053,-12159.537333483071
2000,77.79999999999986,-12069.485060777464
3000,54.4000000000005,-11989.576423602832
4000,71.20000000000023,-11943.221754992412
5000,36.80000000000025,-11913.497428805927
6000,51.100000000000456,-12620.347828363265
7000,74.50000000000004,-11880.209666523839
8000,46.800000000000395,-11974.406438697972
9000,96.79999999999878,-12759.207524860467
10000,54.90000000000051,-12434.287885451782
11000,71.10000000000024,-11941.8118474365
12000,82.3999999999996,-12651.44281244588
13000,75.79999999999997,-12205.066368694841
14000,55.40000000000052,-11863.353593616737
15000,81.39999999999965,-12557.371117333854
16000,74.50000000000004,-12201.689816726197
17000,77.59999999999987,-11812.204186795096
18000,103.89999999999837,6749.18908374225
19000,76.19999999999995,-12851.956776262887
20000,87.89999999999928,-12467.474548841466
21000,67.10000000000046,-12118.732040636942
22000,69.10000000000035,-12461.576242223127
23000,187.59999999999363,7152.383742816149
24000,46.100000000000385,-12081.15603593591
25000,75.2,-11617.278890502948
26000,69.80000000000031,-12848.704455752144
27000,71.00000000000024,-12571.08523195561
28000,82.99999999999956,-11862.824135193587
29000,80.79999999999968,-11947.764279625611
30000,261.699999999991,7206.827439812719
31000,241.69999999999055,6901.106259260162
32000,101.99999999999848,-12410.091860978466
33000,74.60000000000004,-12208.908691202472
34000,54.1000000000005,-12146.30420407301
35000,79.89999999999974,-12325.82129763623
36000,63.50000000000063,-12222.146350750641
37000,111.69999999999793,-12531.454762170288
38000,89.69999999999918,6866.6350097383165
39000,86.09999999999938,6738.827392317064
40000,52.00000000000047,-11823.624706029776
41000,65.80000000000054,-12438.891327822988
42000,53.200000000000486,-11737.999882719347
43000,70.50000000000027,-11750.455710028262
44000,68.3000000000004,-12216.544014026673
45000,87.89999999999928,-12577.235166193557
46000,52.90000000000048,-12347.596526695354
47000,119.79999999999747,7080.845887062551
48000,49.600000000000435,-11437.487855634547
49000,61.90000000000061,-12291.117383524397
50000,51.40000000000046,-12294.738557753775
51000,51.60000000000046,-12371.712835827422
52000,93.89999999999894,6686.305841927679
53000,97.49999999999874,7010.4846083624225
54000,130.39999999999688,7648.444036511342
55000,99.69999999999861,-12193.841607490143
56000,68.60000000000038,-12470.755361710497
57000,79.59999999999975,6667.561286342871
58000,50.90000000000045,-12510.698949831441
59000,72.40000000000016,-12767.372347422597
60000,286.2999999999966,7938.568913751491
61000,138.49999999999642,6952.466084392493
62000,97.9999999999987,-12271.48289015787
63000,62.300000000000615,-11517.79513191634
64000,84.59999999999947,-12418.96659831232
65000,43.70000000000035,-11888.673708797898
66000,61.90000000000061,-12203.438392105265
67000,43.70000000000035,-12515.809239641429
68000,283.49999999999596,7627.288785453574
69000,88.49999999999925,-12693.283933251985
70000,39.60000000000029,-11859.38168584021
71000,277.0999999999945,7388.926724757825
72000,54.3000000000005,-11738.341744610152
73000,44.40000000000036,-11801.109183810568
74000,52.30000000000047,-12483.987645541669
75000,62.50000000000062,-12292.363433602428
76000,62.60000000000062,-11878.807882739302
77000,81.99999999999962,-11754.430449785523
78000,85.49999999999942,-12231.020600306434
79000,141.99999999999622,6683.515597715956
80000,73.20000000000012,-12021.213449840834
81000,199.49999999999295,6905.606395302633
82000,84.39999999999948,-12382.999002552113
83000,113.49999999999783,-12632.202265965378
84000,56.50000000000053,-11919.365489377782
85000,133.19999999999672,6684.368452582743
86000,105.79999999999826,-12281.057754278114
87000,62.50000000000062,-12041.18905654843
88000,54.70000000000051,-11989.4977279712
89000,117.79999999999758,6228.006055039574
90000,79.39999999999976,-12423.645398118642
91000,49.80000000000044,-12314.694294387755
92000,87.29999999999932,-12641.36918310789
93000,89.3999999999992,-11932.790282562031
94000,85.09999999999944,5775.369482225287
95000,48.50000000000042,-12304.624110255141
96000,57.300000000000544,-12058.393910000968
97000,86.39999999999937,-12153.512408874822
98000,58.40000000000056,-12387.745184382711
99000,74.40000000000005,-12738.891549987318
