t,reward,x,y,theta,vx,vy,throttle,wind_vx,wind_vy
0.0,0.0,45.27139800974848,333.88112244346826,-0.010075673553593817,45.42014227105694,-0.6882622531089138,0.5,-0.5275809832843367,-0.7432499446995735
0.1,-0.6979710013868144,45.27139800974848,333.88112244346826,-0.010075673553593817,45.42014227105694,-0.6882622531089138,0.5,-0.5275809832843367,-0.7432499446995735
0.2,-0.25668656075641755,49.80627436266628,333.72987145566793,-0.1223256735535938,45.277384787299,-2.3367575028972047,0.165,-0.5275809832843367,-0.7432499446995735
0.30000000000000004,-0.4430011016196797,54.331506445074844,333.4461680845297,-0.09732567355359381,45.22725686087226,-3.337309919867555,0.165,-0.5275809832843367,-0.7432499446995735
0.4,-0.980025693531203,58.846038829823314,333.03356155378816,-0.1745,45.06339083409719,-4.9148206949633,0.165,-0.5275809832843367,-0.7432499446995735
0.5,-1.3911764766774226,63.34781673840705,332.4813825373264,-0.1745,44.9721673375774,-6.128759634271656,0.165,-0.5275809832843367,-0.7432499446995735
0.6,-1.705148265431441,67.8430046312161,331.8217633928603,-0.1745,44.931590518603805,-7.063623255050523,0.165,-0.5275809832843367,-0.7432499446995735
0.7,-1.94426840446495,72.33593625484767,331.0794203143599,-0.1745,44.927041954027416,-7.783238314957886,0.165,-0.5275809832843367,-0.7432499446995735
0.7999999999999999,-2.125859260858397,76.82971422219437,330.2734268707696,-0.1745,44.94851739290655,-8.33663055684783,0.165,-0.5275809832843367,-0.7432499446995735
0.8999999999999999,-2.263321307993417,81.3265906204864,329.41850861215755,-0.1745,44.9890105729342,-8.761734615392395,0.165,-0.5275809832843367,-0.7432499446995735
0.9999999999999999,-2.366993484431801,85.82821731531656,328.526023515765,-0.1745,45.04352332366907,-9.087967312458092,0.165,-0.5275809832843367,-0.7432499446995735
1.0999999999999999,-2.444833834581874,90.33581531005838,327.6047186492293,-0.1745,45.1084365711671,-9.338130018255942,0.165,-0.5275809832843367,-0.7432499446995735
1.2,-2.5029552155856685,94.85029205457101,326.66131878295477,-0.1745,45.181098319085706,-9.529867307234571,0.165,-0.5275809832843367,-0.7432499446995735
1.3,-2.546044790428544,99.37232430309078,325.7009851719599,-0.1745,45.25954665130969,-9.676804912662595,0.165,-0.5275809832843367,-0.7432499446995735
1.4000000000000001,-2.577691007793359,103.90241759834802,324.7276727858867,-0.1745,45.342319253835136,-9.789442808802274,0.165,-0.5275809832843367,-0.7432499446995735
1.5000000000000002,-2.600637457115458,108.44094955254883,323.7444078352786,-0.1745,45.42831983018095,-9.875856203359787,0.165,-0.5275809832843367,-0.7432499446995735
1.6000000000000003,-2.616979289149854,112.98820168478738,322.75350280609996,-0.1745,45.51672281459026,-9.9422443802129,0.165,-0.5275809832843367,-0.7432499446995735
1.7000000000000004,-2.6283147685869848,117.54438304645107,321.7567226398202,-0.1745,45.606904418683634,-9.993358945381896,0.165,-0.5275809832843367,-0.7432499446995735
1.8000000000000005,-2.635861932784408,122.10964787407045,320.7554128525494,-0.1745,45.69839213370393,-10.032836800034106,0.165,-0.5275809832843367,-0.7432499446995735
1.9000000000000006,-2.6405482135515603,126.68410885008272,319.7505981027719,-0.1745,45.7908273865417,-10.063458195516132,0.165,-0.5275809832843367,-0.7432499446995735
2.0000000000000004,-2.6430791732123335,131.2678471047848,318.7430578851966,-0.1745,45.88393770750024,-10.087346155990225,0.165,-0.5275809832843367,-0.7432499446995735
2.1000000000000005,-2.6439911468851736,135.86091978317648,317.7333845667534,-0.1745,45.97751586033306,-10.106120212874238,0.165,-0.5275809832843367,-0.7432499446995735
2.2000000000000006,-2.6436915090933,140.46336578216977,316.72202782254675,-0.1745,46.07140411953264,-10.121014671258873,0.165,-0.5275809832843367,-0.7432499446995735
2.3000000000000007,-2.6424894403147996,145.07521010732643,315.70932861750236,-0.1745,46.16548238360015,-10.132969429628522,0.165,-0.5275809832843367,-0.7432499446995735
2.400000000000001,-2.640619411649887,149.6964671847619,314.6955451651971,-0.1745,46.259659165109476,-10.142699616477707,0.165,-0.5275809832843367,-0.7432499446995735
2.500000000000001,-2.6382590949668,154.32714338045201,313.6808727386616,-0.1745,46.353864748692516,-10.150748914231919,0.165,-0.5275809832843367,-0.7432499446995735
2.600000000000001,-2.635543010348168,158.96723891732256,312.665458775727,-0.1745,46.44804598871826,-10.157530344459534,0.165,-0.5275809832843367,-0.7432499446995735
