state,action,value
1,1,-60377.09852773773
1,2,-54007.72630383556
1,3,-58902.835662461985
1,4,-45215.82005058
1,5,-55789.93759490057
1,6,-58723.76873971911
1,7,-63600.42093183201
1,8,-59679.713907904435
1,9,-59211.12983378738
1,10,-58006.971580614496
1,11,-59563.29364355425
1,12,-56192.38817143765
2,1,-10032.468694093222
2,2,-23349.532401336706
2,3,-10046.55791601883
2,4,-32239.266294638404
2,5,-37656.96043704013
2,6,-41125.66812145448
2,7,-35469.371526071904
2,8,-1391.9865603165572
2,9,-31094.668317610194
2,10,-56675.987276075626
2,11,-12445.214433907277
2,12,-14093.694108236323
3,1,-9694.774307176755
3,2,-5496.477407586424
3,3,-3649.676367037079
3,4,-3254.753913913404
3,5,-4746.842034703714
3,6,-7230.32901275971
3,7,-4257.789574648721
3,8,267.771362535109
3,9,-7447.545347078108
3,10,-9632.170133637577
3,11,-2524.62138948077
3,12,-6978.790530455676
4,1,-3425.3803352296104
4,2,-3362.5693831635253
4,3,-8630.524553883923
4,4,-8609.02430117162
4,5,-1445.3544815483313
4,6,637.5911535556813
4,7,-8105.2921081565755
4,8,-7620.925550416344
4,9,-4091.9977273169397
4,10,-8787.166386441117
4,11,-260.65769297145835
4,12,-7660.43527222663
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1956.4607030205502
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,1476.830184187704
8,5,0.0
8,6,0.0
8,7,0.0
8,8,-5.0306140726698025
8,9,0.0
8,10,3685.7246896281968
8,11,0.0
8,12,0.0
9,1,0.0
9,2,0.0
9,3,1423.6035884112068
9,4,0.0
9,5,0.0
9,6,0.0
9,7,0.0
9,8,399.1036833284559
9,9,0.0
9,10,2565.6795793670835
9,11,0.0
9,12,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
11,1,-64063.5982042874
11,2,-62871.51798140912
11,3,-63102.609018327465
11,4,-63824.606851072094
11,5,-63634.362684355896
11,6,-65365.37871428352
11,7,-64977.994230450124
11,8,-63009.37091697742
