state,action,value
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,19468.098655359852
6,2,22126.53108192083
6,3,21429.755448654294
6,4,22229.473908542903
6,5,20317.09039707672
6,6,19342.909164418943
6,7,20724.188849962367
6,8,19338.166536734578
6,9,20677.123543398393
6,10,20403.866309882156
6,11,21085.80698691282
6,12,19660.674611556307
7,1,20192.466394576495
7,2,19398.157896391393
7,3,22296.115520972573
7,4,20079.58960340274
7,5,20198.136253462126
7,6,20548.805600039057
7,7,20182.42205480816
7,8,21991.48078373965
7,9,22792.59736008296
7,10,20182.612215189565
7,11,19288.441261169908
7,12,19906.133177617718
8,1,23614.78942041379
8,2,20227.281409687002
8,3,23091.056965243835
8,4,24023.16747131455
8,5,31551.38844997316
8,6,22164.10039591226
8,7,20501.988683832944
8,8,23916.730176398858
8,9,25748.309978304427
8,10,25011.88231745033
8,11,23478.88501548033
8,12,27176.359380950806
9,1,31513.160726797527
9,2,19911.319063426377
9,3,20424.197499764072
9,4,0.0
9,5,24323.98237308543
9,6,19008.66888880995
9,7,21283.546917525837
9,8,23703.452585643605
9,9,32287.89004118331
9,10,18311.66216209084
9,11,19286.10805283844
9,12,0.0
10,1,25824.63195929114
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,21241.289762141
10,11,0.0
10,12,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
11,12,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
16,1,19977.816975008187
16,2,21524.801316262627
16,3,26578.38514219631
16,4,22229.443460394046
16,5,23611.703732171405
16,6,22100.383716157292
16,7,21228.010830746505
16,8,19588.096982465413
16,9,20207.959979154795
16,10,21261.905847971568
16,11,23844.458773745144
16,12,22946.49282245871
17,1,20271.908400430115
17,2,22431.550965443843
17,3,22183.53237670772
17,4,21988.644318819603
17,5,20677.26048604096
17,6,22146.93167131364
17,7,20402.2073868546
17,8,19452.88351188162
17,9,22404.009993054722
17,10,19458.308148893215
17,11,20456.264849302337
17,12,22058.16132252062
18,1,20593.926074128532
18,2,25738.747128629388
18,3,24779.778469322533
18,4,20426.998967319196
18,5,27802.546303565905
18,6,27936.538892143537
18,7,22490.07650281294
18,8,25332.502708434688
18,9,21334.08855437772
18,10,24405.106589309817
18,11,22502.68231065264
18,12,22109.832489745706
19,1,26281.84640876247
19,2,24978.7892581043
19,3,22172.626666918273
19,4,20030.897768282226
19,5,24282.44620561267
19,6,19605.490013420997
19,7,20508.51086722829
19,8,21754.00915681454
19,9,21938.64702083978
19,10,21769.75804075321
19,11,24689.39800229995
19,12,20104.559129645586
20,1,21890.213165815796
20,2,23960.57567754016
20,3,20271.434642864762
20,4,0.0
20,5,21159.071362429964
20,6,0.0
20,7,19989.90174281464
20,8,20389.550848404942
20,9,0.0
20,10,19855.975369048185
20,11,21596.38154632992
20,12,21006.434638049617
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
22,1,0.0
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
26,1,20073.23006444467
26,2,18062.662840947884
26,3,24528.73851549299
26,4,21391.466406632386
26,5,22192.24715770846
26,6,22413.681845584688
26,7,21478.783672694106
26,8,25731.385476100848
26,9,22443.80256035765
26,10,14615.332063746553
26,11,22269.014857517777
26,12,21655.450403104875
27,1,20070.725598763565
27,2,19561.737729703145
27,3,20446.073773983368
27,4,22403.065421381638
27,5,21916.868564233075
27,6,22728.94527926164
27,7,20461.562882481696
27,8,21671.328269050584
27,9,22354.27897979474
27,10,21904.807628943112
27,11,21991.052181793926
27,12,21357.630530386832
28,1,21994.299702736716
28,2,22464.85929761675
28,3,24024.5878077876
28,4,25776.509906847765
28,5,23292.199490508145
28,6,22150.035281423927
28,7,22277.136491446
28,8,21455.659767572495
28,9,21918.308539969108
28,10,24105.125577698407
28,11,22527.768517675468
28,12,21765.31431383202
29,1,30946.087594231474
29,2,21185.111509813316
29,3,22042.40570666502
29,4,27103.028047046973
29,5,26006.24981010947
29,6,22820.887662214416
29,7,22890.11331718293
29,8,20576.15169408878
29,9,21898.44351074606
29,10,22153.122021293184
29,11,21775.955010327205
29,12,20102.614201242515
30,1,25459.224264763154
30,2,20458.420491354726
30,3,23534.225221186334
30,4,19246.5077139343
30,5,0.0
30,6,0.0
30,7,18452.36273719548
30,8,23180.336214466934
30,9,26152.170308178156
30,10,20009.363789229123
30,11,20616.74429972012
30,12,0.0
31,1,0.0
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.0
31,9,0.0
31,10,0.0
31,11,0.0
31,12,0.0
32,1,0.0
32,2,0.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
32,7,0.0
32,8,0.0
32,9,0.0
32,10,0.0
32,11,0.0
32,12,0.0
33,1,0.0
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,0.0
33,8,0.0
33,9,0.0
33,10,0.0
33,11,0.0
33,12,0.0
34,1,0.0
34,2,0.0
34,3,0.0
34,4,0.0
34,5,0.0
34,6,0.0
34,7,0.0
34,8,0.0
34,9,0.0
34,10,0.0
34,11,0.0
34,12,0.0
35,1,0.0
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
35,8,0.0
35,9,0.0
35,10,0.0
35,11,0.0
35,12,0.0
36,1,10390.187097387274
36,2,21298.99708555752
36,3,21533.531962471614
36,4,20234.919428059147
36,5,21227.642222200346
36,6,20482.89954437235
36,7,19475.065296505858
36,8,19879.103777269647
36,9,20208.989082884873
36,10,12025.380582829936
36,11,20895.652072917448
36,12,18484.71681166339
37,1,19467.369218594664
37,2,21391.737624695616
37,3,21173.36877506372
37,4,22529.660620661165
37,5,19880.297312420447
37,6,19906.13449728443
37,7,20297.363178626616
37,8,18515.02950464455
37,9,18864.574746652044
37,10,20294.169163847833
37,11,19937.173818249103
37,12,19475.47130293219
38,1,20936.646413690934
38,2,25295.92959213163
38,3,27689.563935297
38,4,27821.84096587722
38,5,24786.157340702317
38,6,27818.19188069226
38,7,27793.30905238741
38,8,27514.803850839035
38,9,23124.041991471902
38,10,27542.185666222766
38,11,23927.148822458403
38,12,27568.306956986176
39,1,25292.854739699644
39,2,25364.307592907153
39,3,23808.9802164719
39,4,21627.408500820493
39,5,22327.290720272453
39,6,22473.050075147534
39,7,25210.20695122135
39,8,22423.081777211315
39,9,21520.805814020285
39,10,30913.826496458983
39,11,21429.548628090946
39,12,25369.805387509674
40,1,24987.19759760308
40,2,24132.611971887127
40,3,22432.44287551125
40,4,21619.03838125662
40,5,23162.72016247719
40,6,23943.862173428097
40,7,25037.12522402539
40,8,21479.72454471723
40,9,22156.773363688226
40,10,27211.25595160281
40,11,24512.9915189819
40,12,22360.864511404598
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.0
41,9,0.0
41,10,0.0
41,11,0.0
41,12,0.0
42,1,0.0
42,2,0.0
42,3,0.0
42,4,0.0
42,5,0.0
42,6,0.0
42,7,0.0
42,8,0.0
42,9,0.0
42,10,0.0
42,11,0.0
42,12,0.0
43,1,0.0
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
43,7,0.0
43,8,0.0
43,9,0.0
43,10,0.0
43,11,0.0
43,12,0.0
44,1,0.0
44,2,0.0
44,3,0.0
44,4,0.0
44,5,0.0
44,6,0.0
44,7,0.0
44,8,0.0
44,9,0.0
44,10,0.0
44,11,0.0
44,12,0.0
45,1,0.0
45,2,0.0
45,3,0.0
45,4,0.0
45,5,0.0
45,6,0.0
45,7,0.0
45,8,0.0
45,9,0.0
45,10,0.0
45,11,0.0
45,12,0.0
46,1,19615.696570981123
46,2,16821.969879124175
46,3,17017.974668503517
46,4,16991.202783350334
46,5,16975.35303759591
46,6,19673.003298187068
46,7,17590.35781928176
46,8,17771.617078124607
46,9,21446.276021476955
46,10,19172.68239326105
46,11,18533.44968044979
46,12,17222.962021887637
47,1,18228.66200341283
47,2,19208.790678903373
47,3,18138.895642871
47,4,21434.81011389003
47,5,17851.5259819455
47,6,19613.077770327356
47,7,17394.01023013162
47,8,18024.24742472314
47,9,18027.351233942507
47,10,17742.59453476168
47,11,20057.99125561721
47,12,19862.040356396963
48,1,16598.87334030601
48,2,17110.990703908697
48,3,18602.589096039865
48,4,18331.508824810542
48,5,18094.18471132005
48,6,19984.52600391856
48,7,18935.0447210645
48,8,19129.35493841414
48,9,18098.27599942562
48,10,20791.012819460804
48,11,18864.713322841813
48,12,19875.17956303124
49,1,20435.5351741539
49,2,19265.613441220168
49,3,0.0
49,4,0.0
49,5,18576.77221840283
49,6,0.0
49,7,17211.56971311923
49,8,0.0
49,9,16412.718157285657
49,10,14495.225131162593
49,11,18144.10552706393
49,12,0.0
50,1,20394.454743273887
50,2,0.0
50,3,0.0
50,4,0.0
50,5,0.0
50,6,0.0
50,7,0.0
50,8,0.0
50,9,0.0
50,10,0.0
50,11,0.0
50,12,0.0
51,1,0.0
51,2,0.0
51,3,0.0
51,4,0.0
51,5,0.0
51,6,0.0
51,7,0.0
51,8,0.0
51,9,0.0
51,10,0.0
51,11,0.0
51,12,0.0
52,1,0.0
52,2,0.0
52,3,0.0
52,4,0.0
52,5,0.0
52,6,0.0
52,7,0.0
52,8,0.0
52,9,0.0
52,10,0.0
52,11,0.0
52,12,0.0
53,1,0.0
53,2,0.0
53,3,0.0
53,4,0.0
53,5,0.0
53,6,0.0
53,7,0.0
53,8,0.0
53,9,0.0
53,10,0.0
53,11,0.0
53,12,0.0
54,1,0.0
54,2,0.0
54,3,0.0
54,4,0.0
54,5,0.0
54,6,0.0
54,7,0.0
54,8,0.0
54,9,0.0
54,10,0.0
54,11,0.0
54,12,0.0
55,1,0.0
55,2,0.0
55,3,0.0
55,4,0.0
55,5,0.0
55,6,0.0
55,7,0.0
55,8,0.0
55,9,0.0
55,10,0.0
55,11,0.0
55,12,0.0
56,1,19647.001769617957
56,2,21216.493556736033
56,3,17720.096710467373
56,4,17523.74219196673
56,5,16968.754583379
56,6,19227.19365874697
56,7,18423.827035278133
56,8,18137.926965284176
56,9,18142.381134469004
56,10,21459.49938947714
56,11,19150.04536958725
56,12,21085.780740654413
57,1,19473.901304163126
57,2,18590.67230563542
57,3,18395.90479789705
57,4,18269.301895911507
57,5,21347.92636118661
57,6,17859.47191606377
57,7,18135.969385914508
57,8,17204.07718100985
57,9,16782.15537562923
57,10,17757.29734153412
57,11,19760.85262657982
57,12,18637.899709818274
58,1,18811.819373020546
58,2,19346.30320833562
58,3,17573.844057611983
58,4,20389.780634053674
58,5,17026.107376364875
58,6,20915.661099085126
58,7,18427.830346298542
58,8,20175.160406020925
58,9,21712.04254266627
58,10,20140.774369228304
58,11,17675.18944355452
58,12,19676.25966300215
59,1,20724.188354939804
59,2,18696.683315985716
59,3,17625.450889588366
59,4,15222.848394274759
59,5,22153.617434327603
59,6,17942.248669369543
59,7,20445.540529293532
59,8,20426.798335085412
59,9,17425.980425669593
59,10,15246.24959910731
59,11,19668.051213905597
59,12,17324.60846558238
60,1,20573.769312780674
60,2,18630.678383573137
60,3,16435.31292156756
60,4,15173.771457198913
60,5,19350.296461345046
60,6,0.0
60,7,0.0
60,8,0.0
60,9,18208.137787894946
60,10,15544.178264418755
60,11,0.0
60,12,0.0
61,1,0.0
61,2,0.0
61,3,0.0
61,4,0.0
61,5,0.0
61,6,0.0
61,7,0.0
61,8,0.0
61,9,0.0
61,10,0.0
61,11,0.0
61,12,0.0
62,1,0.0
62,2,0.0
62,3,0.0
62,4,0.0
62,5,0.0
62,6,0.0
62,7,0.0
62,8,0.0
