state,action,value
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,11444.444969509499
6,2,19401.155027174802
6,3,23177.442619386635
6,4,18815.028007620724
6,5,17402.93478151535
6,6,18929.214625535526
6,7,17727.600836975096
6,8,20786.881577294782
6,9,18838.641486635992
6,10,18654.4048681585
6,11,18369.123708279007
6,12,21159.319306014004
7,1,20673.650544630065
7,2,19644.828761662702
7,3,19891.43644077588
7,4,21531.167918702125
7,5,17987.619217845368
7,6,18484.026244109875
7,7,21045.26887997384
7,8,20373.789976867454
7,9,18885.34033367468
7,10,19304.49980154272
7,11,20978.78525059947
7,12,8507.754692025272
8,1,19160.44473204266
8,2,22515.856378842822
8,3,23609.43254485375
8,4,24411.962467318477
8,5,22756.695666373093
8,6,21376.86184346021
8,7,24851.572991321525
8,8,23229.173846689308
8,9,21528.892199619004
8,10,26642.321624874283
8,11,23632.54819016761
8,12,23528.051257479798
9,1,20158.571154410252
9,2,19911.319063426377
9,3,0.0
9,4,0.0
9,5,24323.98237308543
9,6,19008.66888880995
9,7,0.0
9,8,23703.452585643605
9,9,32287.89004118331
9,10,18311.66216209084
9,11,21161.98597376387
9,12,0.0
10,1,23066.427152388565
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,21241.289762141
10,11,0.0
10,12,0.0
11,1,0.0
11,2,0.0
11,3,0.0
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
11,12,0.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.0
13,8,0.0
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.0
15,7,0.0
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
16,1,19073.059700949023
16,2,18330.336031569484
16,3,21558.789793767384
16,4,20933.73959015738
16,5,18853.823760228206
16,6,19026.634868453588
16,7,20779.80739421188
16,8,18539.814342467587
16,9,22303.00926503294
16,10,22885.24538099712
16,11,19280.93246056118
16,12,18744.108307125935
17,1,19436.376600830714
17,2,18961.93265491421
17,3,22095.83213014251
17,4,22365.505708480865
17,5,20464.2787720308
17,6,19238.842787081157
17,7,20083.983190262832
17,8,20146.451687979796
17,9,18420.53503670538
17,10,18828.288681396243
17,11,18221.158552827423
17,12,18605.02055176306
18,1,21082.75477069515
18,2,23623.598331788853
18,3,26321.03922260577
18,4,23842.89975289665
18,5,20953.282368546803
18,6,22715.991850724837
18,7,21352.349181892674
18,8,22159.744218516935
18,9,22280.48154483667
18,10,23988.95594029819
18,11,25119.84330558832
18,12,22366.438278275476
19,1,32807.561498543386
19,2,18797.845319899618
19,3,21324.752546630203
19,4,21112.184758548785
19,5,24282.44620561267
19,6,19605.490013420997
19,7,20508.51086722829
19,8,20463.63542458145
19,9,22158.0783141551
19,10,20850.298074255796
19,11,22126.17176389968
19,12,20104.559129645586
20,1,20426.30913835557
20,2,22838.376999378102
20,3,20271.434642864762
20,4,0.0
20,5,20316.90418447279
20,6,0.0
20,7,17435.115682163363
20,8,0.0
20,9,0.0
20,10,19855.975369048185
20,11,21252.558042798864
20,12,19687.42625897734
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.0
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
22,1,0.0
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
26,1,19026.164388323654
26,2,20106.18020968141
26,3,18598.092406090633
26,4,20356.73914852398
26,5,19280.85095837646
26,6,20439.62287772583
26,7,18494.662053179665
26,8,20996.267464911238
26,9,18405.405528695937
26,10,21928.767571610693
26,11,21404.469448736945
26,12,20748.659041212675
27,1,20135.121854805566
27,2,21230.761477501303
27,3,21757.76758773996
27,4,19309.713786602388
27,5,23083.017193753356
27,6,23472.34302385017
27,7,21255.442349565034
27,8,18687.20241832376
27,9,17904.438287814188
27,10,21145.03167351394
27,11,17376.229722637825
27,12,18850.89978180111
28,1,23579.440903920942
28,2,24553.386823390694
28,3,23363.81811926518
28,4,22104.761595578282
28,5,26082.25161003867
28,6,23601.995975741593
28,7,18389.24464434587
28,8,20983.237027022486
28,9,22422.994940808196
28,10,21052.907830162454
28,11,22557.56291070797
28,12,24007.190109942203
29,1,24622.320223493563
29,2,23473.90540366207
29,3,22596.854150235813
29,4,21346.82236076373
29,5,26006.24981010947
29,6,22820.887662214416
29,7,23233.766562174842
29,8,20576.15169408878
29,9,21898.44351074606
29,10,20947.381130703638
29,11,21775.955010327205
29,12,19954.696314854114
30,1,24360.793224575227
30,2,0.0
30,3,20868.509052264777
30,4,19246.5077139343
30,5,0.0
30,6,0.0
30,7,18452.36273719548
30,8,23180.336214466934
30,9,26152.170308178156
30,10,20009.363789229123
30,11,20616.74429972012
30,12,0.0
31,1,0.0
31,2,0.0
31,3,0.0
31,4,0.0
31,5,0.0
31,6,0.0
31,7,0.0
31,8,0.0
31,9,0.0
31,10,0.0
31,11,0.0
31,12,0.0
32,1,0.0
32,2,0.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
32,7,0.0
32,8,0.0
32,9,0.0
32,10,0.0
32,11,0.0
32,12,0.0
33,1,0.0
33,2,0.0
33,3,0.0
33,4,0.0
33,5,0.0
33,6,0.0
33,7,0.0
33,8,0.0
33,9,0.0
33,10,0.0
33,11,0.0
33,12,0.0
34,1,0.0
34,2,0.0
34,3,0.0
34,4,0.0
34,5,0.0
34,6,0.0
34,7,0.0
34,8,0.0
34,9,0.0
34,10,0.0
34,11,0.0
34,12,0.0
35,1,0.0
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
35,8,0.0
35,9,0.0
35,10,0.0
35,11,0.0
35,12,0.0
36,1,19070.517369085894
36,2,20736.770190842093
36,3,19258.587881192336
36,4,21649.551227892647
36,5,19629.282895407145
36,6,19484.174737684087
36,7,20931.612221171083
36,8,21565.066876316298
36,9,19609.518402641468
36,10,20873.77128305791
36,11,17312.24774582782
36,12,20643.400209128595
37,1,19381.01622870189
37,2,20860.810469648964
37,3,18178.381605292838
37,4,21142.706688232338
37,5,19975.198620457748
37,6,21045.302541753732
37,7,21035.044641723693
37,8,18325.455787216437
37,9,19359.17289808838
37,10,19868.408207614917
37,11,21060.93488273938
37,12,21034.933400739792
38,1,18965.5891840717
38,2,22499.15171110325
38,3,22070.711498119417
38,4,22308.085268711005
38,5,22191.318957492407
38,6,21150.819440346662
38,7,21363.96894095992
38,8,22082.483034149824
38,9,22559.561538999544
38,10,23727.938566305595
38,11,22551.713591250085
38,12,22143.32193310763
39,1,21416.910066951066
39,2,22315.05370352033
39,3,22223.4602685199
39,4,22295.50832268194
39,5,23147.626729127714
39,6,24389.84919784162
39,7,22220.201077587208
39,8,22156.303078891713
39,9,21535.328381833206
39,10,22463.94303397713
39,11,22308.19244792669
39,12,21024.374772426778
40,1,21449.541139228724
40,2,20731.502875907594
40,3,22292.31186079105
40,4,20967.92263762211
40,5,20736.449596243554
40,6,22223.43368357795
40,7,22343.87066642359
40,8,20877.7370343121
40,9,24788.27151552332
40,10,22384.655760641155
40,11,20966.36981959032
40,12,20715.184127871114
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.0
41,9,0.0
41,10,0.0
41,11,0.0
41,12,0.0
42,1,0.0
42,2,0.0
42,3,0.0
42,4,0.0
42,5,0.0
42,6,0.0
42,7,0.0
42,8,0.0
42,9,0.0
42,10,0.0
42,11,0.0
42,12,0.0
43,1,0.0
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
43,7,0.0
43,8,0.0
43,9,0.0
43,10,0.0
43,11,0.0
43,12,0.0
44,1,0.0
44,2,0.0
44,3,0.0
44,4,0.0
44,5,0.0
44,6,0.0
44,7,0.0
44,8,0.0
44,9,0.0
44,10,0.0
44,11,0.0
44,12,0.0
45,1,0.0
45,2,0.0
45,3,0.0
45,4,0.0
45,5,0.0
45,6,0.0
45,7,0.0
45,8,0.0
45,9,0.0
45,10,0.0
45,11,0.0
45,12,0.0
46,1,16735.171660297554
46,2,17724.293022475944
46,3,16222.627450778622
46,4,18179.170942703764
46,5,22011.79406707589
46,6,20442.061614318412
46,7,17822.8142464555
46,8,18890.393494382843
46,9,17390.76302790837
46,10,18196.601885335862
46,11,20386.347812102067
46,12,17848.685192590347
47,1,17053.304389265806
47,2,17406.452743961
47,3,18446.1206636699
47,4,16177.96018654359
47,5,17891.162093568924
47,6,16276.816720480574
47,7,17826.934605032955
47,8,18664.807933157128
47,9,16945.259875561682
47,10,18476.529424139757
47,11,16225.346043305346
47,12,16933.693598343256
48,1,17581.27980246988
48,2,17506.466567504947
48,3,18852.186599481814
48,4,18121.672222281606
48,5,18563.47900620701
48,6,18236.50272592812
48,7,18899.01819661327
48,8,20474.455642270976
48,9,20517.165185300055
48,10,18975.52440526973
48,11,19559.239991357314
48,12,17981.03466719433
49,1,20268.617661147757
49,2,14222.751873499175
49,3,0.0
49,4,0.0
49,5,18576.77221840283
49,6,0.0
49,7,0.0
49,8,0.0
49,9,16412.718157285657
49,10,14495.225131162593
49,11,15315.988356938871
49,12,0.0
50,1,18954.32126407916
50,2,0.0
50,3,0.0
50,4,0.0
50,5,0.0
50,6,0.0
50,7,0.0
50,8,0.0
50,9,0.0
50,10,0.0
50,11,0.0
50,12,0.0
51,1,0.0
51,2,0.0
51,3,0.0
51,4,0.0
51,5,0.0
51,6,0.0
51,7,0.0
51,8,0.0
51,9,0.0
51,10,0.0
51,11,0.0
51,12,0.0
52,1,0.0
52,2,0.0
52,3,0.0
52,4,0.0
52,5,0.0
52,6,0.0
52,7,0.0
52,8,0.0
52,9,0.0
52,10,0.0
52,11,0.0
52,12,0.0
53,1,0.0
53,2,0.0
53,3,0.0
53,4,0.0
53,5,0.0
53,6,0.0
53,7,0.0
53,8,0.0
53,9,0.0
53,10,0.0
53,11,0.0
53,12,0.0
54,1,0.0
54,2,0.0
54,3,0.0
54,4,0.0
54,5,0.0
54,6,0.0
54,7,0.0
54,8,0.0
54,9,0.0
54,10,0.0
54,11,0.0
54,12,0.0
55,1,0.0
55,2,0.0
55,3,0.0
55,4,0.0
55,5,0.0
55,6,0.0
55,7,0.0
55,8,0.0
55,9,0.0
55,10,0.0
55,11,0.0
55,12,0.0
56,1,17348.542132009756
56,2,17437.761911739744
56,3,18353.338398365326
56,4,22195.892160903975
56,5,22768.794722194332
56,6,18817.72253796175
56,7,17058.716946605084
56,8,22003.14183886202
56,9,19300.545611640242
56,10,22149.828531841627
56,11,18773.6086092769
56,12,18160.724872735977
57,1,17038.702838792535
57,2,15767.430854547816
57,3,17956.31653005518
57,4,15615.480899739126
57,5,17551.696875228714
57,6,19498.958507928808
57,7,16938.76270070723
57,8,18306.7291499127
57,9,18196.20429493006
57,10,16840.532737432815
57,11,15998.829969219667
57,12,16274.78216701716
58,1,17129.345394860957
58,2,21085.52071565871
58,3,19590.22419801775
58,4,17060.860987498396
58,5,16983.265797576856
58,6,16606.056578676285
58,7,20296.873330889535
58,8,17583.42214838451
58,9,19291.21961132609
58,10,17237.35213502497
58,11,19144.579778819563
58,12,20311.239365090805
59,1,16867.67325553729
59,2,18099.77222626317
59,3,19231.517339578528
59,4,15222.848394274759
59,5,21047.67266551631
59,6,0.0
59,7,18311.110887069113
59,8,18189.620181118884
59,9,17425.980425669593
59,10,15246.24959910731
59,11,13608.946692109579
59,12,16062.207548578655
60,1,16918.64642871921
60,2,18630.678383573137
60,3,16435.31292156756
60,4,15173.771457198913
60,5,19350.296461345046
60,6,0.0
60,7,0.0
60,8,0.0
60,9,18208.137787894946
60,10,0.0
60,11,0.0
60,12,0.0
61,1,0.0
61,2,0.0
61,3,0.0
61,4,0.0
61,5,0.0
61,6,0.0
61,7,0.0
61,8,0.0
61,9,0.0
61,10,0.0
61,11,0.0
61,12,0.0
62,1,0.0
62,2,0.0
62,3,0.0
62,4,0.0
62,5,0.0
62,6,0.0
62,7,0.0
62,8,0.0
62,9,0.0
62,10,0.0
62,11,0.0
62,12,0.0
