state,action,value
1,1,-53035.14885083301
1,2,-52788.84595718498
1,3,-49872.27745459993
1,4,-52472.24117944773
1,5,-51583.56609461486
1,6,-48918.51619886048
1,7,-51573.31731391833
1,8,-51535.32156453045
1,9,-51076.837970972054
1,10,-51716.55840428992
1,11,-53699.80202434109
1,12,-49379.40824078213
1,13,-52466.92512520881
1,14,-52453.10980491141
1,15,-55019.292124705564
1,16,-51127.537832419315
1,17,-55569.70308857482
1,18,-48972.721963092554
1,19,-51766.90109120486
1,20,-48952.62407771509
2,1,-13872.476740504642
2,2,-10346.27730748492
2,3,-8665.92397425411
2,4,-9080.791691197364
2,5,-30807.395248753674
2,6,-7513.472517022831
2,7,-9900.326434636512
2,8,-9174.028624250963
2,9,-7357.122478865391
2,10,-8643.802961226686
2,11,-2611.282622052511
2,12,-8996.954278634952
2,13,-9911.491548500933
2,14,-4590.51110223375
2,15,-4600.74137283548
2,16,-9175.871870812512
2,17,-9496.556254556464
2,18,-1926.5566076012406
2,19,-10457.009609485101
2,20,-9565.91025126646
3,1,-1212.3271005112624
3,2,381.167843259067
3,3,-70.16598385764246
3,4,-8003.241660991465
3,5,666.3830701202272
3,6,-8014.836983566558
3,7,611.7827646106167
3,8,-127.84927068127581
3,9,193.47052144172721
3,10,395.12349690083045
3,11,609.3579217592081
3,12,542.3518255432077
3,13,559.8626829705
3,14,608.7471886656667
3,15,405.4148392036377
3,16,591.3823244317014
3,17,543.8167324534214
3,18,561.6585493830967
3,19,664.2411523975323
3,20,536.6837592495046
4,1,785.6360175494697
4,2,550.9863276266203
4,3,688.1283629079968
4,4,-7152.242443309367
4,5,869.8427246943675
4,6,765.0876490291713
4,7,564.1852377432397
4,8,559.0144320092028
4,9,278.8554188396629
4,10,787.3128084537933
4,11,724.4425486626639
4,12,742.8237891481051
4,13,776.5081408180172
4,14,857.3783408425135
4,15,-3957.296714178262
4,16,516.5064237684463
4,17,761.8835549439788
4,18,469.4601470956879
4,19,-6855.224579578201
4,20,670.0872386547344
5,1,1016.5056037605464
5,2,701.2071201014812
5,3,586.1973635614587
5,4,1203.0038925444555
5,5,1116.5170416320216
5,6,1129.3730547718822
5,7,564.3091821618978
5,8,9017.194282261446
5,9,910.5271140583155
5,10,1029.3236093771598
5,11,894.49270480528
5,12,859.7654306673546
5,13,529.6990712496897
5,14,1127.938595386983
5,15,1268.9583749318335
5,16,770.800264554837
5,17,854.0106228276496
5,18,857.935998926092
5,19,1037.3063994371696
5,20,1234.9579826537338
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
7,1,3884.260104815436
7,2,965.0699223161441
7,3,828.8519729198422
7,4,639.5053653678957
7,5,942.7292176977637
7,6,3178.574558731899
7,7,-5229.54730035846
7,8,646.5914746570467
7,9,769.2079366639421
7,10,874.5512546807457
7,11,887.15937069574
7,12,1050.3614042564286
7,13,-7956.1851108911815
7,14,741.7039421614403
7,15,804.5991497477214
7,16,1009.164145431837
7,17,1009.4291615862264
7,18,874.1564212709678
7,19,929.4712986972065
7,20,398.2258432448775
8,1,-8418.118598542851
8,2,707.0565256139922
8,3,3102.50064145529
8,4,416.49595927534756
8,5,683.5081222203505
8,6,-7505.915845548808
8,7,607.443218061225
8,8,-7834.680812332526
8,9,83.12624295066325
8,10,656.5723199239472
8,11,-7405.984795389762
8,12,-4024.0158152331596
8,13,-7011.2469220748835
8,14,695.830856514616
8,15,-8143.320503627527
8,16,606.3519946783686
8,17,-7955.361456252287
8,18,-3514.382676055951
