state,action,value
1,1,-48514.0648700721
1,2,-54030.37437392282
1,3,-59952.91020333612
1,4,-53008.33794474974
1,5,-59781.82735993918
1,6,-59116.2668181732
1,7,-50315.04617065107
1,8,-67711.59348629363
1,9,-59447.77040762426
1,10,-58569.64224464044
1,11,-58939.888070871035
1,12,-58764.113892457426
2,1,-5135.376192946429
2,2,-52251.15905854994
2,3,-19957.187504135687
2,4,-29203.312128858204
2,5,-37008.34811852903
2,6,-4644.6620354657025
2,7,-38734.290373810596
2,8,-50269.075859144374
2,9,-11364.172441145087
2,10,-12236.1626048667
2,11,-1189.7568563168973
2,12,-12359.954246150242
3,1,-148.38262784803305
3,2,-1394.5079048174339
3,3,-2207.0417700316757
3,4,-7903.817239001698
3,5,-1803.2994969123602
3,6,-5605.979157766211
3,7,-8963.144661469729
3,8,-8565.006740989613
3,9,-6090.994076673422
3,10,-9716.38830509364
3,11,-3202.9023837204195
3,12,-2361.790169862017
4,1,-699.8277199473042
4,2,-477.9358377491044
4,3,530.823584673834
4,4,-84.40153695143806
4,5,-241.9783450040045
4,6,-60.28934820286622
4,7,-2118.3474989410056
4,8,-8299.498284729918
4,9,-342.95395633432236
4,10,-382.4448760459709
4,11,-497.35296118730844
4,12,-185.12420825473217
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,-124.84889112234568
5,7,0.0
5,8,3821.953389573541
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.0
8,1,1264.5048187050133
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,-7912.945626681114
8,11,0.0
8,12,0.0
9,1,0.0
9,2,650.4537383046443
9,3,0.0
9,4,0.0
9,5,0.0
9,6,0.0
9,7,436.9214991437128
9,8,0.0
9,9,0.0
9,10,1797.065856772787
9,11,0.0
9,12,0.0
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,1567.7374961100104
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
11,1,-50967.7690638411
11,2,-58796.487105633554
11,3,-60722.61356581802
11,4,-60308.93248179931
11,5,-37730.28391120443
11,6,-58455.90935172193
11,7,-59431.30434496859
11,8,-62379.846476063496
11,9,-51015.32787232352
11,10,-57102.79668457189
11,11,-60650.05818034944
11,12,-59416.97510805819
12,1,-48673.58193322913
12,2,-4049.0146555221972
12,3,-971.2240575038877
12,4,-12183.99895789968
12,5,-10578.023648602186
12,6,-39723.79633164353
12,7,-44162.71965753706
12,8,-37694.1016775149
12,9,-9871.915354655717
12,10,-10419.956697472717
12,11,-10011.048776635984
12,12,-39017.064246552334
13,1,-2140.883371802892
13,2,-2058.3219370906563
13,3,-4798.005092496648
13,4,-8530.814143315776
13,5,-24562.125933473704
13,6,-2697.983497848257
13,7,-1106.2885885085775
13,8,-9025.350665984783
13,9,-9953.439726802912
13,10,-10421.151843641484
13,11,-1823.1156661542195
13,12,-4181.124611569646
14,1,-987.5085320000946
14,2,-81.42621429104484
14,3,-8549.495070564119
14,4,-554.0725483904042
14,5,-1380.1098554225582
14,6,-1489.4247781542163
14,7,-773.8593590424061
14,8,-545.0443917562676
14,9,-27.7912259499197
14,10,-559.577003378919
14,11,-1169.642756748759
14,12,-7270.260867367882
15,1,-7864.806862397665
15,2,435.15596324991026
15,3,-7957.283504759585
15,4,457.4071053975481
15,5,460.5915915481881
15,6,-7294.716594369782
15,7,305.7927736355612
15,8,348.78512753799623
15,9,562.3436830417631
15,10,-8115.24466352662
15,11,449.61434118917913
15,12,449.2703177616098
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.0
17,7,0.0
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.0
17,12,0.0
18,1,-8376.880187769946
18,2,398.34888762935526
18,3,3517.5870825449147
18,4,1006.485034208599
18,5,-1534.415847250973
18,6,1028.914865766157
18,7,1382.584711893479
18,8,-295.25406997690243
18,9,1024.4362980153983
18,10,-8124.220077730038
18,11,1893.445269599637
18,12,0.0
19,1,945.0806022131164
19,2,1774.4842631813635
19,3,-7148.8559398713705
19,4,-7980.135050098183
19,5,1247.9304806921555
19,6,898.8562425899233
19,7,942.624863082264
19,8,1590.7999613524642
19,9,983.0442674110159
19,10,1742.778022401004
19,11,456.89847773867155
19,12,985.6197888313382
20,1,586.6628951588699
20,2,657.0511222954059
20,3,505.053459160256
20,4,772.5170533458108
20,5,-7784.195655711039
20,6,1478.0379137591613
20,7,547.2275245009142
20,8,0.0
20,9,159.43213806654876
20,10,431.3861804350238
20,11,506.36388843957246
20,12,332.12377976937796
21,1,-24947.03821201306
21,2,-54443.27829459159
21,3,-60564.97733869138
21,4,-54674.478523861224
21,5,-59269.966834648425
21,6,-61190.232235980184
21,7,-59612.321519631136
21,8,-37315.862772836015
21,9,-56157.0475522538
21,10,-55732.570178397
21,11,-59719.66213177477
21,12,-55964.15239067068
22,1,-1092.06828731909
22,2,-4256.8608781204875
22,3,-4476.677267489026
22,4,-5527.043135895153
22,5,-4275.142369128543
22,6,-28018.912910353392
22,7,-4775.897510990072
22,8,-2263.5500255301804
22,9,-6963.154594626158
22,10,-4383.972541055428
22,11,-5028.3572932252755
22,12,-1722.7756068389476
23,1,-2608.316007624489
23,2,-606.4583271738934
23,3,-2535.4256561131124
23,4,-3069.0456983060403
23,5,1250.8532149900464
23,6,-179.10070573071692
23,7,-915.7696287893882
23,8,650.8843265812557
23,9,-307.9829983122538
23,10,421.3200350054576
23,11,-1023.9772183719826
23,12,-5514.256390870214
24,1,466.535607196589
24,2,43.62938771679012
24,3,310.58881551983035
24,4,268.8559185333314
24,5,169.09249381062688
24,6,-113.32394496273366
24,7,814.204379549202
24,8,606.4764430654956
24,9,464.51660487304366
24,10,20.691558552175138
24,11,547.7151541789174
24,12,632.5466926596727
25,1,0.0
25,2,80.4572176285679
25,3,0.0
25,4,0.0
25,5,0.0
25,6,333.24351548729237
25,7,0.0
25,8,0.0
25,9,681.9834124744764
25,10,0.0
25,11,572.2273984717243
25,12,0.0
26,1,0.0
26,2,0.0
26,3,0.0
26,4,0.0
26,5,0.0
26,6,0.0
26,7,0.0
26,8,0.0
26,9,0.0
26,10,0.0
26,11,0.0
26,12,0.0
27,1,0.0
27,2,0.0
27,3,0.0
27,4,0.0
27,5,0.0
27,6,0.0
27,7,0.0
27,8,0.0
27,9,0.0
27,10,0.0
27,11,0.0
27,12,0.0
28,1,719.1030339903075
28,2,607.6833147227036
28,3,1792.8513236214603
28,4,606.4268184727529
28,5,656.6655683683566
28,6,522.835263778733
28,7,443.1229136151974
28,8,654.7592246700807
28,9,518.8717320098169
28,10,665.3802084530801
28,11,0.0
28,12,687.7440337494849
29,1,470.4325924808586
29,2,0.0
29,3,487.61568398913
29,4,500.15428683799706
29,5,620.5871123409254
29,6,410.3478987581226
29,7,1085.3819206474986
29,8,443.2917309561143
29,9,490.4374506165382
29,10,0.0
29,11,361.28010760128876
29,12,483.59912483244585
30,1,0.0
30,2,0.0
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
30,7,0.0
30,8,0.0
30,9,0.0
30,10,0.0
30,11,0.0
30,12,0.0
31,1,-55672.797751928236
31,2,-49924.50587431513
31,3,-52752.73149821196
31,4,-43482.913492126994
31,5,-48933.45568288999
31,6,-55923.59181175426
31,7,-60161.556182299326
31,8,-53954.914923766
31,9,-59756.32626586179
31,10,-57473.44423700254
31,11,-52444.65086646448
31,12,-59702.752515685956
32,1,-732.9010023514733
32,2,-2265.5639697328425
32,3,-37422.83832747475
32,4,-40887.109319576746
32,5,-35762.05249192742
32,6,-4912.219422031791
32,7,-38045.30512584203
32,8,-40651.43002079404
32,9,-33226.83837625302
32,10,-4985.230184309727
32,11,-1926.6363721130847
32,12,-4916.079506896938
33,1,-1328.2067105870453
33,2,-1664.3359623882636
33,3,-1114.2922869696308
33,4,-467.38155980909164
33,5,-1217.4286528123591
33,6,-1152.2571595540198
33,7,-1799.072757759318
33,8,-2830.4470438554363
33,9,-717.9685886182937
33,10,-1770.756281010416
33,11,-2969.666375845335
33,12,-4375.791201618504
34,1,358.96235415517117
34,2,122.0998097097025
34,3,-218.29017494318924
34,4,365.0053620526203
34,5,238.88222653842092
34,6,162.5283365744515
34,7,360.1019039245862
34,8,188.74386468708792
34,9,90.98464678633837
34,10,5.968518455774529
34,11,177.82987211611993
34,12,197.07377728979364
35,1,119.3186702131768
35,2,365.9875467011502
35,3,345.48873246814526
35,4,376.4014262179113
35,5,345.9609849003192
35,6,517.6090150670717
35,7,374.8807788414332
35,8,349.952336058904
35,9,367.2817429779917
35,10,343.73719545384307
35,11,355.1525716282136
35,12,354.73634959946423
36,1,0.0
36,2,0.0
36,3,0.0
36,4,0.0
36,5,0.0
36,6,0.0
36,7,0.0
36,8,0.0
36,9,0.0
36,10,0.0
36,11,0.0
36,12,0.0
37,1,0.0
37,2,0.0
37,3,534.0050404252372
37,4,0.0
37,5,0.0
37,6,0.0
37,7,0.0
37,8,0.0
37,9,659.5635856154686
37,10,0.0
37,11,0.0
37,12,2512.1531493887096
38,1,688.043023934168
38,2,769.3602825686769
38,3,694.5166050014939
38,4,589.2248168477677
38,5,565.5141830198733
38,6,835.8180900063201
38,7,781.1268380014853
38,8,641.0868277950404
38,9,738.5865991707564
38,10,459.84562579731215
38,11,3452.3830325986182
38,12,946.6339571201067
39,1,496.4216316570894
39,2,556.2943474117448
39,3,586.388323720571
39,4,980.323933090603
39,5,577.6065401697845
39,6,1360.4905256368024
39,7,914.9248921249848
39,8,1459.4950370059487
39,9,563.5495022939493
39,10,510.2731683663251
39,11,510.9925327753038
39,12,615.1848038650979
40,1,747.1162803973986
40,2,638.193948388299
40,3,425.96913544938644
40,4,612.7992469899348
40,5,589.5059577775818
40,6,652.8947652290049
40,7,245.80052372374837
40,8,309.58508758430435
40,9,626.6105057318896
40,10,499.98642555812006
40,11,468.36396035890607
40,12,481.3304734857609
41,1,-52499.761609097855
41,2,-49970.136647315056
41,3,-61112.5384100324
41,4,-57282.275004109644
41,5,-59425.11968328853
41,6,-54547.735376804514
41,7,-48664.15743460922
41,8,-50118.60237498155
41,9,-52970.45671123285
41,10,-42727.05722377898
41,11,-52474.70939470787
41,12,-54433.9363463553
42,1,-987.3688623548758
42,2,-4304.843788109624
42,3,-3814.0915585670227
42,4,-416.4680007500039
42,5,-804.8193142149521
42,6,-1129.195213251945
42,7,-35013.57916787474
42,8,-33350.959574985536
42,9,-790.311638906752
42,10,-2529.2921055688753
42,11,-1234.644302196251
42,12,-908.0793283710615
43,1,138.44761788876662
43,2,72.66417632722161
43,3,-19.282279648184954
43,4,271.26114565987325
43,5,156.85834225558662
43,6,-23.059096377303717
43,7,155.63130349346386
43,8,128.782015465548
43,9,-193.345088484165
43,10,282.8438665537163
43,11,150.1827279305563
43,12,150.93129865122907
44,1,255.3461007134445
44,2,140.58239035487213
44,3,178.68818051312238
44,4,190.6063502313479
44,5,201.40732308729343
44,6,170.5631029559197
44,7,145.07693633599285
44,8,178.83605454169313
44,9,188.5433316550041
44,10,153.87010907623574
44,11,120.64764494637794
44,12,191.07598995222324
45,1,0.0
45,2,179.89771146874813
45,3,0.0
45,4,175.7898870258448
45,5,105.49110383599255
45,6,0.0
45,7,260.09629599024174
45,8,283.79414667710347
45,9,108.45945954447777
45,10,0.0
45,11,0.0
45,12,306.44420168645917
46,1,0.0
46,2,0.0
46,3,0.0
46,4,0.0
46,5,0.0
46,6,0.0
46,7,0.0
46,8,0.0
46,9,0.0
46,10,0.0
46,11,0.0
46,12,0.0
47,1,0.0
47,2,0.0
47,3,935.1377505380765
47,4,0.0
47,5,0.0
47,6,0.0
47,7,0.0
47,8,0.0
47,9,0.0
47,10,0.0
47,11,0.0
47,12,0.0
48,1,235.76916139810825
48,2,250.08526941081317
48,3,1073.7791688499597
48,4,364.2068785842988
48,5,254.50961534338242
48,6,372.29048260100694
48,7,347.7794441468607
48,8,213.6783186658666
48,9,1164.6791769144838
48,10,266.4715546900272
48,11,224.11786339397585
48,12,221.0498769178756
49,1,274.2322276429412
49,2,150.28556513068224
49,3,276.01288459387797
49,4,253.66374663852085
49,5,284.2486061411846
49,6,948.0580450791705
49,7,252.66697169520052
49,8,272.7934238757139
49,9,347.4880707316906
49,10,291.4632143675675
49,11,252.57483575295998
49,12,253.05544760010474
50,1,0.0
50,2,0.0
50,3,296.5859107838885
50,4,0.0
50,5,0.0
50,6,244.0614642169343
50,7,409.0538965825557
50,8,0.0
50,9,0.0
50,10,0.0
50,11,0.0
50,12,0.0
51,1,-55707.98967572866
51,2,-43875.77322633786
51,3,-57862.147076205816
51,4,-56942.6073527854
51,5,-57000.214648941444
51,6,-60455.64137824353
51,7,-55930.01024973346
51,8,-56780.958950701126
51,9,-48860.54705164133
51,10,-57665.65497620661
51,11,-55964.672434502165
51,12,-57250.54332100655
52,1,-40265.52294324833
52,2,-26562.726815897127
52,3,-30554.442929952198
52,4,-24516.233065478107
52,5,-35914.51374436197
52,6,-43062.04753081233
52,7,-5007.879849566652
52,8,-45214.14404690155
52,9,-36938.76682656416
52,10,-40628.8635531255
52,11,50.275367859565165
52,12,-43344.652535000816
53,1,108.11877747765448
53,2,-3030.683538990076
53,3,-256.29724873040004
53,4,97.10947532490292
53,5,-2379.0655438895496
53,6,131.35940601187355
53,7,-172.84463718962297
53,8,115.44478952219788
53,9,-175.82610943653458
53,10,104.83281382686116
53,11,127.23762811621535
53,12,-2822.062452326795
54,1,168.73321649309997
54,2,159.01439423739507
54,3,153.1895338457411
54,4,167.11711418431588
54,5,146.42656747191052
54,6,157.66897268424054
54,7,136.5677474729534
54,8,150.04809335670075
54,9,170.4579591299616
54,10,148.43816567329537
54,11,81.15428855829803
54,12,154.40917505733373
55,1,358.1870492864268
55,2,163.05414265776767
55,3,145.50561806230104
55,4,211.80710999457028
55,5,304.3236705706168
55,6,220.66350491333202
55,7,139.39254319171212
55,8,343.02286500186284
55,9,135.35965697959477
55,10,372.27296317586666
55,11,373.2435047149702
55,12,143.35912103756914
56,1,0.0
56,2,0.0
56,3,0.0
56,4,0.0
56,5,0.0
56,6,0.0
56,7,0.0
56,8,0.0
56,9,0.0
56,10,0.0
56,11,0.0
56,12,0.0
57,1,0.0
57,2,0.0
57,3,290.36771751469894
57,4,0.0
57,5,0.0
57,6,0.0
57,7,0.0
57,8,0.0
57,9,0.0
57,10,0.0
57,11,0.0
57,12,0.0
58,1,700.1998082927237
58,2,669.0299666483023
58,3,223.1432547788945
58,4,671.1784262074866
58,5,714.7410741993405
58,6,270.0752237379229
58,7,222.337150250739
58,8,342.42649014783615
58,9,242.07570050336133
58,10,694.1364934272437
58,11,731.7055022454441
58,12,658.5505745167393
59,1,625.6652931141192
59,2,264.8162234058286
59,3,336.6602194434735
59,4,245.57708606962532
59,5,384.8149240560904
59,6,286.2720214488964
59,7,259.6370764507161
59,8,244.10747472031656
59,9,246.55996210423828
59,10,349.80615442393224
59,11,223.42386904728352
59,12,257.9654190261156
60,1,126.00681038283226
60,2,333.84099181862445
60,3,241.51542319621086
60,4,225.8298256605025
60,5,761.8332083025863
60,6,237.66620801849683
60,7,235.67994905484093
60,8,204.55501918210425
60,9,225.6786109271511
60,10,220.12971251968526
60,11,230.02695805507273
60,12,232.35077679862366
61,1,-51847.02085564479
61,2,-40500.12959201901
61,3,-48595.20175767601
61,4,-56913.15820925843
61,5,-62740.512969842704
61,6,-32133.198971173864
61,7,-46727.336674688784
61,8,-56954.90184126496
61,9,-48073.57016035271
61,10,-54971.02736114166
61,11,-47135.709877311216
61,12,-57258.51952861073
62,1,-288.1910000341056
62,2,-3734.6377334182907
62,3,-377.09244465628007
62,4,-1041.5920658599955
62,5,-2913.9953026859325
62,6,-844.7454640715713
62,7,-406.4137035481094
62,8,-2444.8703129860537
62,9,-536.8811785864705
62,10,-31479.499560752884
62,11,-584.203231489623
62,12,-22639.7030426016
63,1,51.55354993411197
63,2,101.61092952414953
63,3,87.58410619505567
63,4,99.5141786674639
63,5,85.18953781518704
63,6,97.9761620591135
63,7,82.98311456660531
63,8,76.31791991472494
63,9,94.09234144260174
63,10,88.52624887774947
63,11,65.12518440158061
63,12,86.6346601419198
64,1,99.9102111943796
64,2,98.45373486928223
64,3,79.4532990471499
64,4,76.00055687654272
64,5,93.50703388419271
64,6,105.4106948838078
64,7,41.959378630200106
64,8,92.80963353994545
64,9,106.68203572971922
64,10,95.82421209214324
64,11,99.64291474443831
64,12,115.71354276977186
65,1,76.1747668455171
65,2,91.71446380594762
65,3,107.61581692987883
65,4,132.8657791662896
65,5,306.3422127102182
65,6,126.58374006843829
65,7,94.55997264241608
65,8,91.97918727179083
65,9,106.94787390170492
65,10,106.73495903753216
65,11,390.8014549009521
65,12,123.26909045544265
66,1,0.0
66,2,0.0
66,3,0.0
66,4,0.0
66,5,0.0
66,6,0.0
66,7,0.0
66,8,0.0
66,9,0.0
66,10,0.0
66,11,0.0
66,12,0.0
67,1,644.1531937860284
67,2,0.0
67,3,0.0
67,4,0.0
67,5,0.0
67,6,0.0
67,7,0.0
67,8,0.0
67,9,0.0
67,10,0.0
67,11,0.0
67,12,0.0
68,1,115.78092988450024
68,2,115.69877132157889
68,3,126.01031081392448
68,4,116.5166218675993
68,5,142.3338911900637
68,6,113.15452066915806
68,7,590.0483196840008
68,8,119.8187403623767
68,9,109.80596495696022
68,10,117.32474199615208
68,11,116.52582389236537
68,12,618.5761919847333
69,1,174.62180033341244
69,2,97.03311780382458
69,3,97.76365851766923
69,4,112.49019007818842
69,5,105.10293020422212
69,6,105.23412472756257
69,7,124.43019915377255
69,8,120.01150913976386
